"","seqnames","start","end","width","strand","Conc","Conc_none","Conc_Fulvestrant","Fold","p.value","FDR"
"20","chr12",52596998,52597804,807,"*",7.07,7.82,5.4,2.41,1.22e-31,9.45e-29
"21","chr11",66829604,66830263,660,"*",5.97,6.88,2.93,3.96,1.46e-31,1.08e-28
"22","chr17",26863750,26864407,658,"*",6.07,6.97,3.09,3.88,7.99e-31,5.61e-28
"23","chr7",26598052,26598565,514,"*",5.83,6.78,1.86,4.92,8.42e-31,5.66e-28
"24","chr13",69260123,69260939,817,"*",6.64,7.53,3.97,3.56,9.65e-31,6.21e-28
"25","chr15",92731241,92731827,587,"*",5.97,6.88,2.91,3.96,1.8e-30,1.11e-27
"26","chr10",9080129,9080730,602,"*",6.32,7.18,3.83,3.35,2.46e-30,1.46e-27
"27","chr1",109782494,109783103,610,"*",6.91,7.7,5.02,2.68,3.38e-30,1.93e-27
"28","chr10",128606804,128607439,636,"*",5.93,6.88,2.07,4.82,3.76e-30,2.08e-27
"29","chr11",82715165,82715775,611,"*",5.83,6.79,1.66,5.13,4.96e-30,2.64e-27
"30","chr4",6416911,6417473,563,"*",5.86,6.79,2.4,4.39,5.32e-30,2.74e-27
"31","chr20",55511660,55512104,445,"*",5.8,6.76,1.68,5.08,7.82e-30,3.9e-27
"32","chr14",93483634,93484171,538,"*",6.38,7.21,4.17,3.05,8.32e-30,4.02e-27
"33","chr7",906643,907281,639,"*",6.82,7.6,4.97,2.63,1.35e-29,6.32e-27
"34","chr1",7507744,7508341,598,"*",6.32,7.21,3.56,3.65,1.54e-29,7.01e-27
"35","chr2",100253034,100253605,572,"*",6.27,7.13,3.83,3.3,1.77e-29,7.56e-27
"36","chr13",109571471,109572210,740,"*",6.35,7.18,4.18,3,1.78e-29,7.56e-27
"37","chr2",11652708,11653274,567,"*",5.74,6.7,1.35,5.35,1.81e-29,7.56e-27
"38","chr6",36086143,36086737,595,"*",5.87,6.79,2.67,4.12,1.92e-29,7.8e-27
"39","chr12",97894242,97894811,570,"*",5.82,6.74,2.59,4.15,2.89e-29,1.15e-26
"40","chr20",50004008,50004483,476,"*",5.98,6.87,3.1,3.77,3.79e-29,1.47e-26
"41","chr19",1170102,1170719,618,"*",6.23,7.07,3.99,3.07,4.37e-29,1.61e-26
"42","chr4",147166243,147166980,738,"*",6.31,7.15,4.1,3.05,4.39e-29,1.61e-26
"43","chr8",143425886,143426319,434,"*",5.74,6.69,1.95,4.74,6.28e-29,2.26e-26
"44","chr16",83980285,83981029,745,"*",6.52,7.33,4.48,2.84,1.48e-28,5.19e-26
"45","chr1",65510005,65510502,498,"*",5.66,6.61,1.76,4.85,2.05e-28,7.03e-26
"46","chr5",122184834,122185294,461,"*",5.79,6.71,2.5,4.22,2.38e-28,7.92e-26
"47","chr3",133174881,133175593,713,"*",5.8,6.71,2.71,4.01,2.41e-28,7.92e-26
"48","chr5",136477612,136478146,535,"*",5.67,6.61,2.16,4.45,2.49e-28,8.02e-26
"49","chr21",43480078,43480534,457,"*",5.8,6.73,2.53,4.19,3.91e-28,1.21e-25
"50","chr4",3464636,3465455,820,"*",6.11,6.99,3.57,3.42,3.91e-28,1.21e-25
"51","chr17",1680150,1680608,459,"*",5.78,6.7,2.7,4,4.58e-28,1.39e-25
"52","chr14",50459596,50460053,458,"*",6.14,7.01,3.6,3.41,4.82e-28,1.43e-25
"53","chr1",42255296,42255877,582,"*",6.24,7.06,4.11,2.95,5.61e-28,1.64e-25
"54","chr16",2794686,2795084,399,"*",5.71,6.65,2.04,4.62,5.85e-28,1.67e-25
"55","chr5",173017983,173018570,588,"*",5.88,6.8,2.77,4.03,7.68e-28,2.16e-25
"56","chr1",145726380,145726977,598,"*",6.68,7.47,4.78,2.69,8.4e-28,2.32e-25
"57","chr15",70670432,70670898,467,"*",5.65,6.59,1.96,4.63,1.19e-27,3.22e-25
"58","chr6",20210332,20210929,598,"*",6.17,7.03,3.8,3.23,1.23e-27,3.27e-25
"59","chr10",8170235,8170905,671,"*",6.18,7.05,3.65,3.39,1.33e-27,3.48e-25
"60","chr17",31846625,31847071,447,"*",5.7,6.65,1.84,4.81,1.4e-27,3.6e-25
"61","chr4",27170128,27170990,863,"*",6.3,7.14,4.08,3.05,2.27e-27,5.76e-25
"62","chr10",44668719,44669436,718,"*",6.23,7.1,3.66,3.44,2.6e-27,6.47e-25
"63","chr3",150454978,150455511,534,"*",6.4,7.25,4.14,3.1,2.73e-27,6.69e-25
"64","chr16",27909203,27909722,520,"*",5.94,6.85,2.94,3.91,2.79e-27,6.73e-25
"65","chrX",37764101,37764587,487,"*",6.02,6.9,3.37,3.53,3.06e-27,7.22e-25
"66","chr5",19885144,19885819,676,"*",6.21,7.09,3.67,3.42,3.08e-27,7.22e-25
"67","chr18",18910011,18910572,562,"*",6.06,6.91,3.74,3.16,3.53e-27,8.14e-25
"68","chr5",172882105,172882617,513,"*",5.61,6.56,1.75,4.81,6.34e-27,1.44e-24
"69","chr11",131562030,131562499,470,"*",5.65,6.6,1.94,4.66,9.21e-27,2.06e-24
"70","chr21",20938837,20939700,864,"*",6.27,7.17,3.37,3.8,1.25e-26,2.76e-24
"71","chr6",15036845,15037457,613,"*",6.59,7.39,4.61,2.78,1.56e-26,3.39e-24
"72","chr1",152715631,152716169,539,"*",5.61,6.57,1.4,5.17,2.32e-26,4.98e-24
"73","chr3",188209216,188209676,461,"*",5.64,6.59,1.77,4.83,2.35e-26,4.98e-24
"74","chr2",57367551,57368154,604,"*",5.78,6.71,2.33,4.38,2.47e-26,5.16e-24
"75","chr1",109680561,109681334,774,"*",6.34,7.18,4.14,3.04,3.38e-26,6.95e-24
"76","chr2",159583769,159584205,437,"*",5.66,6.6,2.09,4.51,3.71e-26,7.55e-24
"77","chr19",46080511,46081360,850,"*",6.38,7.2,4.3,2.9,4.4e-26,8.83e-24
"78","chr11",2214399,2214992,594,"*",6.17,7.01,4,3.01,4.69e-26,9.29e-24
"79","chr3",87591602,87592156,555,"*",5.86,6.73,3.28,3.45,6.02e-26,1.18e-23
"80","chr10",172413,173250,838,"*",6.33,7.16,4.19,2.97,7.13e-26,1.38e-23
"81","chr2",191651002,191651936,935,"*",6.71,7.46,5.06,2.41,7.95e-26,1.52e-23
"82","chr1",221140367,221141033,667,"*",5.64,6.54,2.7,3.85,8.17e-26,1.54e-23
"83","chr1",207076933,207077428,496,"*",5.91,6.79,3.23,3.56,8.53e-26,1.57e-23
"84","chr4",38464129,38464699,571,"*",6.25,7.07,4.11,2.96,8.56e-26,1.57e-23
"85","chr11",101312399,101312877,479,"*",5.76,6.68,2.55,4.14,8.63e-26,1.57e-23
"86","chr6",125906546,125906956,411,"*",5.53,6.48,1.57,4.92,1.14e-25,2.04e-23
"87","chr17",63239749,63240223,475,"*",5.76,6.66,2.87,3.79,1.51e-25,2.67e-23
"88","chr5",57391157,57391565,409,"*",5.52,6.48,1.32,5.16,1.54e-25,2.71e-23
"89","chr22",37966082,37966688,607,"*",6.09,6.93,3.9,3.03,1.56e-25,2.71e-23
"90","chr12",52542401,52543001,601,"*",6.12,6.97,3.73,3.25,1.74e-25,2.98e-23
"91","chr18",41456438,41457096,659,"*",5.99,6.88,3.25,3.63,2.07e-25,3.52e-23
"92","chr6",135575547,135576004,458,"*",5.59,6.52,2.03,4.5,2.22e-25,3.73e-23
"93","chr9",128201100,128201527,428,"*",5.57,6.54,0.68,5.86,2.42e-25,4.01e-23
"94","chr10",5538336,5539021,686,"*",6.75,7.5,5.11,2.39,2.47e-25,4.05e-23
"95","chr10",62608347,62608816,470,"*",5.52,6.47,1.59,4.88,3.11e-25,5.06e-23
"96","chr2",238467658,238467955,298,"*",6.56,7.34,4.72,2.63,3.36e-25,5.39e-23
"97","chrX",109195151,109195673,523,"*",5.73,6.63,2.88,3.74,3.38e-25,5.39e-23
"98","chr12",124895088,124895572,485,"*",5.79,6.67,3.08,3.59,6e-25,9.46e-23
"99","chr9",95428129,95428784,656,"*",5.98,6.82,3.74,3.08,6.25e-25,9.75e-23
"100","chr8",70023802,70024203,402,"*",5.57,6.5,2.28,4.22,6.56e-25,1.01e-22
"101","chr15",74002452,74002894,443,"*",5.51,6.47,1.09,5.39,6.71e-25,1.03e-22
"102","chr11",395921,396403,483,"*",5.87,6.75,3.26,3.49,7.25e-25,1.1e-22
"103","chr1",22799083,22799621,539,"*",5.55,6.49,1.79,4.7,7.42e-25,1.11e-22
"104","chr20",46853195,46853638,444,"*",5.56,6.52,1.27,5.25,8.31e-25,1.23e-22
"105","chr5",149257637,149258328,692,"*",5.92,6.79,3.32,3.47,8.43e-25,1.24e-22
"106","chr3",129204371,129205041,671,"*",6.27,7.06,4.41,2.65,9.91e-25,1.44e-22
"107","chr20",4117108,4117623,516,"*",5.58,6.51,2.34,4.16,1.04e-24,1.49e-22
"108","chr4",28168980,28169471,492,"*",5.82,6.68,3.42,3.26,1.52e-24,2.17e-22
"109","chr3",15677527,15678215,689,"*",6.08,6.93,3.74,3.19,1.81e-24,2.57e-22
"110","chr4",1239180,1239633,454,"*",6.16,6.98,4.06,2.92,1.85e-24,2.6e-22
"111","chr16",19999067,19999738,672,"*",5.56,6.52,1.27,5.26,1.87e-24,2.61e-22
"112","chr8",17187121,17187636,516,"*",5.72,6.65,2.42,4.23,2.09e-24,2.86e-22
"113","chr5",132585017,132585664,648,"*",6.34,7.12,4.47,2.65,2.1e-24,2.86e-22
"114","chr20",61027752,61028254,503,"*",5.7,6.61,2.6,4.01,2.64e-24,3.58e-22
"115","chr6",134438344,134438888,545,"*",6.2,7,4.23,2.77,2.75e-24,3.7e-22
"116","chr17",39662770,39663318,549,"*",5.46,6.42,1.31,5.11,4.14e-24,5.51e-22
"117","chr20",43394172,43394605,434,"*",5.67,6.61,1.93,4.68,4.5e-24,5.93e-22
"118","chrX",153648232,153648638,407,"*",5.4,6.37,0.9,5.47,4.53e-24,5.93e-22
"119","chr1",177417820,177418289,470,"*",6.01,6.88,3.54,3.33,4.91e-24,6.37e-22
"120","chr3",133179956,133180592,637,"*",5.44,6.38,1.7,4.69,5.99e-24,7.71e-22
"121","chr5",172880035,172880641,607,"*",6.05,6.9,3.76,3.14,6.17e-24,7.88e-22
"122","chr11",67805649,67806067,419,"*",5.5,6.44,1.81,4.63,6.77e-24,8.57e-22
"123","chr7",156518492,156519011,520,"*",5.64,6.6,1.38,5.22,6.98e-24,8.77e-22
"124","chr22",29215302,29216115,814,"*",7.08,7.81,5.55,2.27,7.58e-24,9.45e-22
"125","chr2",43500607,43501142,536,"*",5.95,6.82,3.3,3.52,8.31e-24,1.03e-21
"126","chr14",93511332,93511931,600,"*",6.26,7.06,4.35,2.7,8.52e-24,1.04e-21
"127","chr3",50642371,50643213,843,"*",6.24,7.03,4.31,2.72,8.55e-24,1.04e-21
"128","chr9",136738285,136738790,506,"*",6.08,6.9,3.95,2.95,1.02e-23,1.23e-21
"129","chr7",34527057,34527474,418,"*",5.38,6.35,0.86,5.49,1.2e-23,1.44e-21
"130","chr5",139022537,139023397,861,"*",6.59,7.36,4.8,2.56,1.24e-23,1.47e-21
"131","chr8",129151988,129152520,533,"*",5.75,6.63,3.14,3.49,1.27e-23,1.5e-21
"132","chr12",103569398,103569805,408,"*",5.52,6.44,2.18,4.26,1.28e-23,1.5e-21
"133","chr19",51547463,51548060,598,"*",6.15,6.96,4.13,2.83,1.68e-23,1.95e-21
"134","chr8",102132890,102133289,400,"*",5.8,6.7,2.95,3.75,1.85e-23,2.13e-21
"135","chr9",116846535,116846935,401,"*",5.36,6.31,1.57,4.74,1.92e-23,2.19e-21
"136","chr20",47480808,47481745,938,"*",7.27,7.97,5.85,2.12,1.94e-23,2.2e-21
"137","chr7",105280248,105280895,648,"*",6.38,7.14,4.66,2.48,1.96e-23,2.21e-21
"138","chr9",132250756,132251659,904,"*",6.7,7.44,5.05,2.39,2.14e-23,2.39e-21
"139","chr15",30115043,30115632,590,"*",5.91,6.77,3.46,3.31,2.54e-23,2.82e-21
"140","chr21",43795587,43795984,398,"*",5.33,6.29,1.25,5.04,2.59e-23,2.85e-21
"141","chr8",22601136,22601731,596,"*",5.65,6.56,2.73,3.82,3.15e-23,3.45e-21
"142","chr17",13679302,13679938,637,"*",5.74,6.67,2.41,4.26,3.21e-23,3.49e-21
"143","chr7",1054322,1054801,480,"*",5.43,6.35,2.33,4.02,3.43e-23,3.7e-21
"144","chr13",27552427,27552942,516,"*",5.75,6.61,3.27,3.34,3.45e-23,3.7e-21
"145","chr16",53133286,53134071,786,"*",6.31,7.09,4.45,2.64,4.5e-23,4.79e-21
"146","chr7",2579002,2579626,625,"*",6.09,6.94,3.82,3.12,4.59e-23,4.86e-21
"147","chr19",19660533,19660995,463,"*",5.46,6.39,2.05,4.34,4.62e-23,4.86e-21
"148","chr17",43978377,43978832,456,"*",5.58,6.46,2.84,3.63,4.68e-23,4.89e-21
"149","chr2",33295032,33295636,605,"*",6.26,7.05,4.36,2.69,4.78e-23,4.96e-21
"150","chr2",28599992,28600707,716,"*",6.19,6.98,4.26,2.73,5.59e-23,5.75e-21
"151","chr6",33864537,33865141,605,"*",5.98,6.85,3.43,3.43,6.19e-23,6.34e-21
"152","chr6",44078057,44078443,387,"*",5.58,6.49,2.58,3.9,6.37e-23,6.47e-21
"153","chr6",135532190,135532897,708,"*",6.5,7.26,4.82,2.43,6.41e-23,6.47e-21
"154","chr3",16458837,16459320,484,"*",5.74,6.63,3,3.63,7.6e-23,7.63e-21
"155","chr19",34370705,34371414,710,"*",5.94,6.8,3.55,3.25,7.82e-23,7.79e-21
"156","chr14",34250487,34251201,715,"*",6.38,7.16,4.6,2.56,7.96e-23,7.88e-21
"157","chr2",140002806,140003223,418,"*",5.53,6.46,1.96,4.5,8.1e-23,7.97e-21
"158","chr5",71044157,71044765,609,"*",5.76,6.64,3.06,3.58,9.62e-23,9.41e-21
"159","chr5",173910342,173910844,503,"*",5.86,6.72,3.49,3.22,9.74e-23,9.46e-21
"160","chr21",41712086,41712671,586,"*",5.56,6.48,2.45,4.02,1.05e-22,1.02e-20
"161","chr14",97966211,97966818,608,"*",5.86,6.68,3.72,2.96,1.19e-22,1.14e-20
"162","chr20",47188656,47189150,495,"*",6.27,7.09,4.21,2.87,1.25e-22,1.19e-20
"163","chr17",55244063,55244590,528,"*",5.29,6.25,1.14,5.12,1.31e-22,1.24e-20
"164","chr19",39204955,39205553,599,"*",6.35,7.12,4.55,2.57,1.31e-22,1.24e-20
"165","chr20",24630490,24631114,625,"*",6.69,7.44,5.05,2.39,1.47e-22,1.38e-20
"166","chr20",48901107,48901696,590,"*",5.96,6.83,3.43,3.39,1.91e-22,1.78e-20
"167","chr20",19271577,19271999,423,"*",5.28,6.22,1.64,4.58,2.08e-22,1.92e-20
"168","chr5",172982077,172982539,463,"*",5.7,6.56,3.26,3.29,2.13e-22,1.96e-20
"169","chr2",237678383,237678887,505,"*",5.95,6.77,3.87,2.91,2.18e-22,1.99e-20
"170","chr7",101588206,101588621,416,"*",5.47,6.39,2.27,4.13,2.19e-22,1.99e-20
"171","chr10",5530158,5530702,545,"*",5.89,6.72,3.77,2.95,2.35e-22,2.13e-20
"172","chr2",20581069,20581554,486,"*",5.57,6.48,2.55,3.94,2.8e-22,2.51e-20
"173","chr1",184595739,184596215,477,"*",5.57,6.44,3.04,3.4,3.22e-22,2.88e-20
"174","chr4",135220511,135220910,400,"*",5.26,6.23,0.8,5.42,3.58e-22,3.18e-20
"175","chr9",128213277,128213720,444,"*",5.29,6.26,0.58,5.68,3.67e-22,3.24e-20
"176","chr2",237640384,237641124,741,"*",5.81,6.64,3.65,2.98,4.07e-22,3.57e-20
"177","chr14",99673771,99674332,562,"*",5.82,6.66,3.56,3.1,4.14e-22,3.61e-20
"178","chr22",31982074,31982860,787,"*",5.76,6.63,3.23,3.39,4.95e-22,4.3e-20
"179","chr1",21568124,21568541,418,"*",5.45,6.35,2.45,3.9,5.12e-22,4.42e-20
"180","chr10",90145311,90145668,358,"*",5.3,6.23,1.98,4.25,5.19e-22,4.43e-20
"181","chr2",11262414,11262935,522,"*",5.97,6.79,3.86,2.93,5.19e-22,4.43e-20
"182","chr4",3486165,3487107,943,"*",6.69,7.42,5.18,2.23,6.05e-22,5.13e-20
"183","chr16",68779533,68780078,546,"*",6.1,6.93,3.97,2.96,6.17e-22,5.21e-20
"184","chr1",186201030,186201435,406,"*",5.26,6.2,1.65,4.55,6.7e-22,5.6e-20
"185","chr12",834239,834684,446,"*",5.31,6.23,2.2,4.03,6.7e-22,5.6e-20
"186","chr11",66764388,66764987,600,"*",6.26,7.03,4.49,2.54,6.79e-22,5.64e-20
"187","chr3",197079799,197080346,548,"*",5.49,6.41,2.35,4.06,6.84e-22,5.65e-20
"188","chr10",80888299,80888719,421,"*",5.71,6.56,3.29,3.27,7.56e-22,6.21e-20
"189","chr6",125746457,125746866,410,"*",5.43,6.39,1.27,5.13,9.67e-22,7.9e-20
"190","chr10",101795230,101795665,436,"*",5.35,6.28,2.08,4.19,1.02e-21,8.28e-20
"191","chr7",105710518,105710974,457,"*",5.77,6.62,3.45,3.17,1.04e-21,8.41e-20
"192","chr5",117345455,117346028,574,"*",6.28,7.09,4.3,2.79,1.05e-21,8.42e-20
"193","chr15",38885585,38886133,549,"*",6.11,6.93,4,2.93,1.07e-21,8.59e-20
"194","chr2",241009063,241009781,719,"*",6.05,6.88,3.87,3.01,1.09e-21,8.68e-20
"195","chr14",104159670,104160284,615,"*",6.48,7.24,4.73,2.51,1.36e-21,1.08e-19
"196","chr12",33740664,33741347,684,"*",5.86,6.68,3.71,2.97,1.44e-21,1.13e-19
"197","chr7",101616102,101616755,654,"*",6,6.82,3.9,2.92,1.45e-21,1.14e-19
"198","chr4",40365360,40366020,661,"*",6.34,7.12,4.52,2.59,1.61e-21,1.25e-19
"199","chr10",5701766,5702581,816,"*",6.68,7.43,5.04,2.39,1.65e-21,1.28e-19
"200","chr2",129035398,129035849,452,"*",5.36,6.31,1.59,4.73,1.69e-21,1.3e-19
"201","chr4",75543697,75544264,568,"*",6.19,6.97,4.36,2.61,2.06e-21,1.58e-19
"202","chr1",96526074,96526528,455,"*",5.34,6.26,2.03,4.23,2.08e-21,1.59e-19
"203","chr5",139023626,139024110,485,"*",5.2,6.15,1.23,4.93,2.16e-21,1.64e-19
"204","chr21",30881507,30882130,624,"*",5.47,6.45,0.14,6.31,2.18e-21,1.65e-19
"205","chr2",173138761,173139272,512,"*",5.83,6.7,3.28,3.42,2.22e-21,1.68e-19
"206","chr7",98979248,98979602,355,"*",5.2,6.16,1.06,5.1,2.28e-21,1.7e-19
"207","chr2",238404969,238405461,493,"*",6.14,6.94,4.21,2.73,2.28e-21,1.7e-19
"208","chr9",87562507,87562983,477,"*",5.29,6.27,0.14,6.13,2.29e-21,1.7e-19
"209","chr9",74624670,74625324,655,"*",6.04,6.84,4.05,2.8,2.34e-21,1.73e-19
"210","chr10",43606129,43606640,512,"*",5.38,6.33,1.59,4.74,2.37e-21,1.74e-19
"211","chr16",81309251,81309781,531,"*",6.55,7.29,4.99,2.3,2.52e-21,1.84e-19
"212","chr2",20271213,20272123,911,"*",7.01,7.67,5.74,1.94,2.75e-21,2e-19
"213","chr1",19752259,19752671,413,"*",5.19,6.14,1.37,4.77,2.78e-21,2.02e-19
"214","chr8",100917663,100918131,469,"*",5.98,6.78,4,2.78,2.86e-21,2.07e-19
"215","chr18",33679166,33679729,564,"*",6,6.86,3.51,3.35,2.98e-21,2.14e-19
"216","chr3",124781528,124782380,853,"*",6.98,7.65,5.7,1.95,3.08e-21,2.21e-19
"217","chr17",54968085,54968501,417,"*",5.2,6.16,0.81,5.35,3.23e-21,2.3e-19
"218","chr9",33221262,33221616,355,"*",5.26,6.19,1.9,4.29,3.5e-21,2.48e-19
"219","chr17",75282230,75283482,1253,"*",6.93,7.61,5.59,2.03,3.53e-21,2.49e-19
"220","chr7",152272052,152272735,684,"*",5.35,6.28,1.93,4.35,3.55e-21,2.49e-19
"221","chr18",13539747,13540431,685,"*",6.24,7.01,4.5,2.51,3.75e-21,2.62e-19
"222","chr7",45387405,45388071,667,"*",5.79,6.63,3.49,3.14,4.06e-21,2.83e-19
"223","chr11",1793795,1794144,350,"*",5.32,6.25,2,4.25,4.08e-21,2.83e-19
"224","chr10",50021986,50022459,474,"*",5.3,6.21,2.29,3.92,4.23e-21,2.91e-19
"225","chr10",81118460,81118884,425,"*",5.5,6.37,2.9,3.47,4.67e-21,3.19e-19
"226","chrX",118443709,118444240,532,"*",5.14,6.1,1,5.11,4.67e-21,3.19e-19
"227","chr12",124877467,124878031,565,"*",6.21,6.98,4.49,2.49,4.68e-21,3.19e-19
"228","chr17",72754232,72754852,621,"*",6.16,6.99,4.03,2.96,4.9e-21,3.32e-19
"229","chr7",131899191,131899610,420,"*",5.31,6.21,2.4,3.81,5.52e-21,3.72e-19
"230","chr7",157082097,157082979,883,"*",6.17,6.97,4.19,2.78,5.58e-21,3.75e-19
"231","chr19",16114292,16114736,445,"*",5.2,6.14,1.39,4.75,6.29e-21,4.21e-19
"232","chr19",38789498,38790315,818,"*",6.61,7.32,5.14,2.18,6.43e-21,4.28e-19
"233","chr5",133801992,133802658,667,"*",5.92,6.75,3.74,3.01,6.89e-21,4.57e-19
"234","chr4",141171326,141171670,345,"*",5.18,6.11,1.72,4.39,7.17e-21,4.74e-19
"235","chr12",109553899,109554525,627,"*",5.21,6.14,1.73,4.41,7.29e-21,4.79e-19
"236","chr18",13425749,13426235,487,"*",5.97,6.8,3.78,3.02,7.39e-21,4.84e-19
"237","chrX",100705049,100705535,487,"*",5.4,6.29,2.69,3.6,7.83e-21,5.11e-19
"238","chr3",176671476,176671895,420,"*",5.37,6.27,2.5,3.76,7.88e-21,5.11e-19
"239","chr12",52594333,52594926,594,"*",6.05,6.86,4.06,2.79,9.22e-21,5.96e-19
"240","chr17",73305411,73305878,468,"*",5.16,6.13,0.58,5.55,9.31e-21,5.99e-19
"241","chr1",109693765,109694271,507,"*",5.9,6.71,3.87,2.83,9.91e-21,6.35e-19
"242","chr2",45979592,45980237,646,"*",6.16,6.95,4.3,2.64,1e-20,6.39e-19
"243","chr21",41696229,41697230,1002,"*",6.83,7.6,5.03,2.57,1.02e-20,6.48e-19
"244","chr2",72797554,72798213,660,"*",5.33,6.28,1.2,5.09,1.03e-20,6.52e-19
"245","chr3",107544451,107544838,388,"*",5.67,6.51,3.36,3.16,1.06e-20,6.66e-19
"246","chr17",1848999,1849680,682,"*",5.67,6.51,3.42,3.09,1.08e-20,6.76e-19
"247","chr1",154977892,154978326,435,"*",5.55,6.45,2.63,3.81,1.1e-20,6.88e-19
"248","chr2",237601413,237601974,562,"*",5.63,6.49,3.23,3.26,1.34e-20,8.32e-19
"249","chr5",139017719,139018321,603,"*",5.74,6.58,3.53,3.05,1.34e-20,8.34e-19
"250","chr1",52007394,52007859,466,"*",5.13,6.08,1.11,4.97,1.45e-20,8.97e-19
"251","chr1",214873742,214874076,335,"*",5.12,6.08,0.75,5.33,1.46e-20,9e-19
"252","chr10",76581346,76582289,944,"*",6.29,7.03,4.7,2.34,1.55e-20,9.5e-19
"253","chr17",19583626,19584151,526,"*",5.17,6.11,1.59,4.52,1.66e-20,1.02e-18
"254","chr5",154448143,154448714,572,"*",6.03,6.86,3.82,3.05,1.78e-20,1.08e-18
"255","chr21",40895868,40896234,367,"*",5.47,6.37,2.66,3.7,1.89e-20,1.14e-18
"256","chr12",117885461,117885956,496,"*",5.3,6.22,2.12,4.1,2.36e-20,1.43e-18
"257","chr21",16582272,16583091,820,"*",7.08,7.74,5.82,1.92,2.39e-20,1.43e-18
"258","chr11",69294396,69295133,738,"*",5.97,6.79,3.88,2.91,2.5e-20,1.5e-18
"259","chr8",125867508,125867992,485,"*",5.84,6.69,3.47,3.22,2.63e-20,1.57e-18
"260","chr15",96915994,96916374,381,"*",5.2,6.12,2.01,4.12,2.83e-20,1.68e-18
"261","chr16",15583219,15583690,472,"*",5.68,6.53,3.31,3.22,3.14e-20,1.86e-18
"262","chr5",172718912,172719435,524,"*",5.47,6.46,-0.49,6.95,3.21e-20,1.9e-18
"263","chr3",50302456,50302965,510,"*",5.28,6.19,2.29,3.9,3.25e-20,1.9e-18
"264","chr7",16920122,16920548,427,"*",5.31,6.25,1.76,4.49,3.25e-20,1.9e-18
"265","chr3",15334291,15335009,719,"*",6.35,7.08,4.79,2.28,3.56e-20,2.08e-18
"266","chr20",20421919,20422272,354,"*",5.35,6.24,2.62,3.62,3.66e-20,2.13e-18
"267","chr4",163704325,163704786,462,"*",5.22,6.18,1.02,5.15,3.69e-20,2.14e-18
"268","chr14",77784440,77784866,427,"*",5.1,6.07,0.7,5.37,3.76e-20,2.17e-18
"269","chr14",75721679,75722052,374,"*",5.3,6.21,2.29,3.92,3.77e-20,2.17e-18
"270","chr8",118414693,118415027,335,"*",5.14,6.07,1.69,4.39,3.81e-20,2.18e-18
"271","chr13",82879777,82880198,422,"*",5.62,6.46,3.33,3.14,4.03e-20,2.29e-18
"272","chr18",46517114,46517715,602,"*",6.09,6.86,4.33,2.53,4.03e-20,2.29e-18
"273","chr14",77117999,77118359,361,"*",5.09,6.05,0.97,5.08,4.25e-20,2.4e-18
"274","chr1",153492708,153493184,477,"*",5.37,6.25,2.76,3.49,4.59e-20,2.59e-18
"275","chr9",4866203,4866816,614,"*",6.5,7.26,4.8,2.47,4.96e-20,2.79e-18
"276","chr15",71396972,71397508,537,"*",6,6.83,3.82,3.01,5.16e-20,2.89e-18
"277","chr8",11588123,11588570,448,"*",5.61,6.46,3.26,3.2,5.49e-20,3.06e-18
"278","chr3",161140051,161140402,352,"*",5.44,6.34,2.57,3.77,5.56e-20,3.09e-18
