"","seqnames","start","end","width","strand","Conc","Conc_Fulvestrant","Conc_none","Fold","p.value","FDR"
"22","chr21",16582242,16583090,849,"*",6.22,4.09,7.05,-2.96,7.45e-40,2.23e-37
"23","chr14",77866428,77867051,624,"*",5.97,3.74,6.8,-3.06,2.25e-39,6.45e-37
"24","chr5",172880048,172880646,599,"*",5.53,2.7,6.43,-3.73,2.91e-39,8e-37
"25","chr3",161057230,161058112,883,"*",6.41,4.65,7.18,-2.52,2.48e-38,6.56e-36
"26","chr8",128871736,128872465,730,"*",6.27,4.1,7.1,-3,4.58e-38,1.16e-35
"27","chr5",117345450,117346047,598,"*",5.61,2.8,6.5,-3.7,6.03e-38,1.47e-35
"28","chr20",24630499,24631060,562,"*",5.91,3.58,6.75,-3.17,6.37e-38,1.5e-35
"29","chr10",9080095,9080732,638,"*",5.38,1.89,6.31,-4.42,8.2e-38,1.87e-35
"30","chr5",172899567,172900205,639,"*",5.56,0.54,6.54,-6,9.35e-38,2.06e-35
"31","chr3",133174889,133176220,1332,"*",5.56,2.16,6.49,-4.33,3.41e-37,7.26e-35
"32","chr8",67626104,67627089,986,"*",6.03,3.92,6.85,-2.93,4.63e-37,9.54e-35
"33","chr6",122943748,122944871,1124,"*",5.3,2.38,6.2,-3.82,5.21e-37,1.04e-34
"34","chr5",19734732,19735515,784,"*",6.04,4.08,6.84,-2.76,7.77e-37,1.47e-34
"35","chr15",96437305,96438398,1094,"*",6.2,4.14,7.02,-2.88,7.78e-37,1.47e-34
"36","chr11",78770831,78771619,789,"*",5.31,2.02,6.23,-4.21,9.15e-37,1.65e-34
"37","chr11",101206739,101207406,668,"*",5.37,1.48,6.32,-4.84,9.26e-37,1.65e-34
"38","chr1",203058185,203058922,738,"*",5.6,2.6,6.5,-3.91,1.52e-36,2.63e-34
"39","chr1",199985828,199986432,605,"*",5.3,1.53,6.24,-4.71,1.7e-36,2.88e-34
"40","chr21",16571764,16572736,973,"*",5.73,3.46,6.57,-3.11,2.01e-36,3.31e-34
"41","chr8",125866039,125867136,1098,"*",5.99,4.04,6.79,-2.74,4.94e-36,7.95e-34
"42","chr14",75726607,75727517,911,"*",5.45,2.64,6.34,-3.7,7.06e-36,1.11e-33
"43","chr1",109782455,109783166,712,"*",5.93,3.61,6.78,-3.17,1.58e-35,2.42e-33
"44","chr9",130789049,130789586,538,"*",5.34,1.95,6.27,-4.32,2.35e-35,3.53e-33
"45","chr8",91703983,91704600,618,"*",5.18,1.03,6.14,-5.12,3.65e-35,5.35e-33
"46","chr3",150454972,150455501,530,"*",5.26,2.3,6.17,-3.87,5.19e-35,7.44e-33
"47","chr8",36919697,36920165,469,"*",5.17,1.75,6.1,-4.35,6.81e-35,9.55e-33
"48","chr7",84165361,84166039,679,"*",5.62,3.28,6.47,-3.2,8.83e-35,1.21e-32
"49","chr20",46786743,46787176,434,"*",5.44,2.41,6.35,-3.95,3.29e-34,4.43e-32
"50","chr8",86852996,86853853,858,"*",6.21,4.32,7,-2.68,3.73e-34,4.92e-32
"51","chr4",75543706,75544322,617,"*",5.3,2.46,6.19,-3.73,6.97e-34,9.01e-32
"52","chr12",76099915,76100572,658,"*",5.69,3.36,6.54,-3.18,7.18e-34,9.11e-32
"53","chr6",15036853,15037446,594,"*",5.39,2.66,6.28,-3.62,7.85e-34,9.77e-32
"54","chr3",99822586,99823362,777,"*",5.06,1.76,5.99,-4.22,1.7e-33,2.07e-31
"55","chr6",134438334,134438818,485,"*",5.3,2.5,6.2,-3.7,2.47e-33,2.96e-31
"56","chr6",67796008,67796782,775,"*",5.08,1.6,6.01,-4.41,3.17e-33,3.73e-31
"57","chr20",47188630,47189134,505,"*",5.77,3.39,6.63,-3.24,3.6e-33,4.11e-31
"58","chr20",52811408,52812577,1170,"*",6.89,5.05,7.67,-2.62,3.61e-33,4.11e-31
"59","chr14",95522734,95523429,696,"*",5.97,3.92,6.78,-2.86,4e-33,4.41e-31
"60","chr7",93181095,93181801,707,"*",5.13,0.64,6.1,-5.46,4.01e-33,4.41e-31
"61","chr4",105817845,105818248,404,"*",5.09,1.85,6.01,-4.15,5.14e-33,5.55e-31
"62","chr2",182943374,182944276,903,"*",5.23,2.56,6.12,-3.55,5.22e-33,5.55e-31
"63","chrX",130627023,130627520,498,"*",5.22,0.55,6.19,-5.65,7.16e-33,7.4e-31
"64","chr6",135532247,135532835,589,"*",5.67,3.57,6.5,-2.93,7.18e-33,7.4e-31
"65","chr10",44668713,44669389,677,"*",5.25,2.33,6.16,-3.83,7.37e-33,7.48e-31
"66","chr2",11679616,11680176,561,"*",6.07,3.95,6.89,-2.94,7.57e-33,7.57e-31
"67","chr10",8170245,8170911,667,"*",5.42,2.66,6.31,-3.65,1.06e-32,1.04e-30
"68","chr9",138284319,138284834,516,"*",5.5,2.98,6.37,-3.39,1.12e-32,1.08e-30
"69","chr8",69765478,69766107,630,"*",5.34,2.45,6.24,-3.8,1.14e-32,1.09e-30
"70","chr21",43786488,43787206,719,"*",6.19,4.16,7,-2.84,1.27e-32,1.19e-30
"71","chr1",109788789,109789245,457,"*",5.1,1.75,6.02,-4.27,1.44e-32,1.33e-30
"72","chr10",95194717,95195330,614,"*",6,4.18,6.78,-2.6,2.83e-32,2.59e-30
"73","chr12",75265474,75266198,725,"*",6.07,4.15,6.87,-2.72,2.88e-32,2.6e-30
"74","chr16",4202109,4202743,635,"*",6.3,4.57,7.07,-2.5,2.95e-32,2.63e-30
"75","chr21",16545319,16545996,678,"*",5.41,3.19,6.24,-3.05,7.66e-32,6.73e-30
"76","chr1",188401547,188402180,634,"*",5.06,1.93,5.97,-4.04,1.39e-31,1.19e-29
"77","chr4",27170127,27170958,832,"*",5.12,1.81,6.04,-4.23,1.39e-31,1.19e-29
"78","chr1",145726394,145726982,589,"*",5.71,3.57,6.54,-2.98,2.15e-31,1.82e-29
"79","chr2",33295119,33295638,520,"*",5.37,2.96,6.23,-3.27,3.13e-31,2.62e-29
"80","chr3",188209145,188209692,548,"*",4.92,1.23,5.86,-4.64,3.85e-31,3.18e-29
"81","chr11",70651924,70652382,459,"*",5.12,2.15,6.02,-3.87,4.46e-31,3.64e-29
"82","chr20",45973945,45974367,423,"*",5.61,3,6.48,-3.48,5.86e-31,4.71e-29
"83","chr20",46618612,46619002,391,"*",4.97,1.6,5.9,-4.3,8.45e-31,6.71e-29
"84","chr14",93483678,93484132,455,"*",5,1.45,5.93,-4.48,9.47e-31,7.44e-29
"85","chr2",215243049,215243936,888,"*",5.02,2.04,5.92,-3.88,9.8e-31,7.47e-29
"86","chr1",107962934,107963518,585,"*",4.98,1.31,5.93,-4.61,9.84e-31,7.47e-29
"87","chr11",82715140,82715728,589,"*",5,1.36,5.94,-4.58,9.85e-31,7.47e-29
"88","chr10",5538406,5538952,547,"*",5.71,3.49,6.54,-3.05,1.09e-30,8.17e-29
"89","chr1",116255631,116256227,597,"*",5.64,3.55,6.46,-2.91,2.04e-30,1.51e-28
"90","chr3",189560396,189560954,559,"*",4.97,1.06,5.92,-4.86,2.46e-30,1.81e-28
"91","chr15",99292320,99293023,704,"*",5.65,3.75,6.45,-2.7,3.39e-30,2.46e-28
"92","chr9",4866153,4866761,609,"*",5.59,3.54,6.4,-2.87,3.97e-30,2.85e-28
"93","chr1",7507839,7508285,447,"*",5.17,2.16,6.08,-3.92,4.04e-30,2.87e-28
"94","chr12",52597001,52597747,747,"*",5.42,3.02,6.27,-3.25,5.81e-30,4.08e-28
"95","chr21",20938851,20939788,938,"*",5.01,2.25,5.9,-3.66,5.97e-30,4.14e-28
"96","chr2",182885379,182885949,571,"*",4.92,1.97,5.83,-3.86,6.16e-30,4.23e-28
"97","chr5",136477597,136478129,533,"*",4.87,1.62,5.79,-4.17,6.37e-30,4.33e-28
"98","chr7",156518473,156519059,587,"*",4.89,1.23,5.84,-4.61,7.32e-30,4.93e-28
"99","chr20",50003985,50004444,460,"*",4.91,1.3,5.85,-4.54,7.65e-30,5.1e-28
"100","chr1",191396674,191397199,526,"*",5.38,3.08,6.23,-3.14,1.14e-29,7.52e-28
"101","chr18",33679201,33679750,550,"*",4.98,1.28,5.92,-4.64,1.97e-29,1.29e-27
"102","chr11",71192405,71192881,477,"*",5.25,2.84,6.1,-3.26,2.32e-29,1.5e-27
"103","chr16",83980418,83980920,503,"*",5.22,2.11,6.14,-4.02,2.49e-29,1.59e-27
"104","chrX",37764085,37764567,483,"*",4.87,1.05,5.81,-4.77,2.54e-29,1.61e-27
"105","chr8",70023800,70024265,466,"*",4.91,0.69,5.87,-5.18,5.63e-29,3.53e-27
"106","chr9",91144837,91145402,566,"*",5.69,3.84,6.48,-2.64,6.32e-29,3.93e-27
"107","chr12",122186551,122187181,631,"*",5.45,3,6.31,-3.31,8.54e-29,5.27e-27
"108","chr5",14864253,14864849,597,"*",5.04,2.53,5.91,-3.38,9.38e-29,5.73e-27
"109","chr7",45583077,45583447,371,"*",4.79,0.85,5.74,-4.89,1.36e-28,8.23e-27
"110","chr8",130462989,130463537,549,"*",5.07,2.51,5.94,-3.42,1.77e-28,1.06e-26
"111","chr20",58653432,58653968,537,"*",5.33,2.83,6.19,-3.37,2.05e-28,1.22e-26
"112","chr11",101312405,101312870,466,"*",4.84,1.63,5.76,-4.14,2.35e-28,1.38e-26
"113","chr6",151937216,151937722,507,"*",5.72,3.61,6.55,-2.94,2.41e-28,1.4e-26
"114","chr2",226707653,226708202,550,"*",4.78,0.82,5.73,-4.92,2.43e-28,1.41e-26
"115","chr1",207076963,207077410,448,"*",4.85,1.57,5.77,-4.2,3.64e-28,2.09e-26
"116","chr2",140531135,140531622,488,"*",5.04,2.66,5.9,-3.23,4.38e-28,2.49e-26
"117","chr19",46080552,46081388,837,"*",5.55,3.64,6.35,-2.71,4.88e-28,2.75e-26
"118","chr2",140002382,140003272,891,"*",4.87,0.52,5.83,-5.31,5.52e-28,3.09e-26
"119","chr10",125481327,125481840,514,"*",4.8,1.1,5.75,-4.65,5.77e-28,3.2e-26
"120","chrX",149209408,149209857,450,"*",4.86,2.03,5.76,-3.73,5.81e-28,3.2e-26
"121","chr16",15583217,15583720,504,"*",4.77,1.02,5.71,-4.7,6.42e-28,3.5e-26
"122","chr16",27909252,27909683,432,"*",4.85,1.94,5.75,-3.81,6.79e-28,3.67e-26
"123","chr6",122941874,122942473,600,"*",5.13,2.79,5.98,-3.19,7.41e-28,3.97e-26
"124","chr21",41712080,41712703,624,"*",5.14,-0.17,6.12,-6.29,7.54e-28,4.01e-26
"125","chr13",109571488,109572276,789,"*",5.26,3.04,6.09,-3.05,8.58e-28,4.53e-26
"126","chr20",47314282,47315042,761,"*",5.59,3.69,6.39,-2.7,9.28e-28,4.86e-26
"127","chr2",237949902,237950344,443,"*",5.17,2.98,6.01,-3.03,1.05e-27,5.47e-26
"128","chr8",91766461,91766896,436,"*",4.77,0.44,5.74,-5.29,1.07e-27,5.5e-26
"129","chr11",77970826,77971529,704,"*",5.08,2.63,5.95,-3.31,1.15e-27,5.88e-26
"130","chr12",33740686,33741372,687,"*",4.7,1.24,5.63,-4.39,1.65e-27,8.39e-26
"131","chr8",91925009,91925488,480,"*",5.22,2.83,6.07,-3.25,1.89e-27,9.54e-26
"132","chr15",39960653,39961073,421,"*",5.14,2.68,6,-3.33,2.71e-27,1.36e-25
"133","chr1",112055860,112056634,775,"*",6.58,5.18,7.28,-2.09,2.78e-27,1.38e-25
"134","chr4",176154926,176155748,823,"*",4.89,1.98,5.79,-3.81,2.84e-27,1.4e-25
"135","chr21",41686124,41686620,497,"*",4.7,0.77,5.65,-4.87,3.07e-27,1.5e-25
"136","chr5",128513291,128513802,512,"*",5.06,2.72,5.92,-3.2,3.18e-27,1.54e-25
"137","chr20",19110631,19111272,642,"*",5.65,3.9,6.42,-2.52,3.44e-27,1.66e-25
"138","chr13",23553122,23553788,667,"*",5.31,3.25,6.13,-2.87,3.55e-27,1.7e-25
"139","chr11",20016411,20017044,634,"*",4.91,2.31,5.78,-3.47,4.52e-27,2.14e-25
"140","chr2",57367539,57368139,601,"*",4.75,0.53,5.71,-5.18,4.55e-27,2.14e-25
"141","chr5",154448162,154448727,566,"*",5.17,2.8,6.02,-3.22,4.73e-27,2.21e-25
"142","chr10",63677878,63678303,426,"*",4.69,0.87,5.63,-4.77,6.02e-27,2.8e-25
"143","chr18",41456626,41457079,454,"*",4.84,2.09,5.73,-3.63,6.63e-27,3.06e-25
"144","chr5",172882105,172883093,989,"*",4.83,0.1,5.8,-5.7,7.95e-27,3.64e-25
"145","chr1",116358280,116358704,425,"*",4.79,2.06,5.68,-3.62,8.06e-27,3.67e-25
"146","chr15",92731359,92731801,443,"*",4.77,0.2,5.74,-5.54,8.71e-27,3.93e-25
"147","chr9",74624669,74625161,493,"*",4.89,2.37,5.76,-3.38,1.23e-26,5.54e-25
"148","chr1",177417842,177418286,445,"*",4.88,2.28,5.76,-3.47,1.27e-26,5.67e-25
"149","chr15",96438651,96439453,803,"*",5.67,3.97,6.42,-2.45,2.5e-26,1.11e-24
"150","chr15",89658741,89659295,555,"*",5.21,3.01,6.04,-3.03,3.07e-26,1.35e-24
"151","chr12",132345189,132345797,609,"*",6.05,4.14,6.85,-2.71,3.1e-26,1.35e-24
"152","chr3",174844790,174845436,647,"*",4.6,1.19,5.53,-4.35,3.41e-26,1.48e-24
"153","chr15",71397009,71397444,436,"*",5.06,2.7,5.91,-3.21,3.52e-26,1.5e-24
"154","chr21",41754440,41755163,724,"*",5.08,2.9,5.91,-3.01,3.52e-26,1.5e-24
"155","chr21",36106979,36107371,393,"*",4.73,0.65,5.68,-5.03,3.53e-26,1.5e-24
"156","chr8",95104760,95105189,430,"*",5.2,3.02,6.03,-3.01,3.89e-26,1.65e-24
"157","chr10",100074153,100074737,585,"*",4.65,1.47,5.57,-4.1,4.23e-26,1.78e-24
"158","chr17",72765847,72766625,779,"*",5.32,3.26,6.14,-2.87,4.99e-26,2.07e-24
"159","chr10",93120573,93121109,537,"*",4.63,1.21,5.56,-4.35,4.99e-26,2.07e-24
"160","chr12",103569352,103569795,444,"*",4.65,1.16,5.58,-4.42,5.4e-26,2.23e-24
"161","chr2",100253055,100253507,453,"*",4.95,2.14,5.84,-3.71,5.5e-26,2.25e-24
"162","chr16",81309299,81309766,468,"*",5.15,2.78,6,-3.22,5.54e-26,2.26e-24
"163","chr11",20057228,20058242,1015,"*",5.03,2.53,5.9,-3.37,6.29e-26,2.55e-24
"164","chr20",49341409,49341796,388,"*",4.74,0.42,5.7,-5.29,6.72e-26,2.68e-24
"165","chr6",17472990,17473923,934,"*",4.6,1.49,5.52,-4.03,6.74e-26,2.68e-24
"166","chr8",125867585,125868011,427,"*",4.76,2.1,5.64,-3.53,6.76e-26,2.68e-24
"167","chr2",20271284,20272049,766,"*",5.76,4.13,6.51,-2.37,6.77e-26,2.68e-24
"168","chr9",95428103,95428745,643,"*",4.95,2.67,5.79,-3.12,7.13e-26,2.8e-24
"169","chr14",67946714,67947171,458,"*",5.29,3.13,6.12,-2.99,9.72e-26,3.79e-24
"170","chr10",9220432,9221189,758,"*",5,2.84,5.83,-2.99,1.08e-25,4.21e-24
"171","chr6",140201089,140201535,447,"*",4.64,1.22,5.58,-4.36,1.36e-25,5.25e-24
"172","chr4",37482092,37482686,595,"*",5.34,3.48,6.12,-2.64,1.45e-25,5.54e-24
"173","chr6",20210401,20210917,517,"*",4.98,2.75,5.81,-3.06,1.76e-25,6.72e-24
"174","chr10",9229950,9230926,977,"*",6.12,4.78,6.81,-2.03,1.79e-25,6.79e-24
"175","chr13",113567775,113568180,406,"*",4.57,0.83,5.52,-4.68,1.82e-25,6.85e-24
"176","chr12",15368992,15369892,901,"*",5.35,3.43,6.14,-2.71,2.12e-25,7.95e-24
"177","chr8",91899715,91900307,593,"*",5.73,4.18,6.45,-2.27,2.29e-25,8.53e-24
"178","chr4",105892510,105892991,482,"*",4.66,1.83,5.55,-3.73,2.6e-25,9.6e-24
"179","chr3",156530179,156530756,578,"*",5.81,4.17,6.55,-2.38,2.6e-25,9.6e-24
"180","chr16",377054,377685,632,"*",5.75,4.03,6.51,-2.48,2.69e-25,9.86e-24
"181","chr5",66511529,66511923,395,"*",4.59,0.87,5.54,-4.67,2.78e-25,1.01e-23
"182","chr20",55310008,55310782,775,"*",6.1,4.37,6.86,-2.49,3.01e-25,1.09e-23
"183","chr1",42333807,42334252,446,"*",4.85,2.36,5.72,-3.36,3.73e-25,1.34e-23
"184","chr17",59800372,59801189,818,"*",7.39,6.06,8.07,-2.01,3.98e-25,1.43e-23
"185","chr2",65133931,65134572,642,"*",5.35,3.44,6.15,-2.71,4.06e-25,1.45e-23
"186","chr12",97894227,97894744,518,"*",4.88,-0.2,5.86,-6.05,4.16e-25,1.48e-23
"187","chr12",46887362,46888026,665,"*",5.87,4.39,6.59,-2.2,4.28e-25,1.5e-23
"188","chr11",66829686,66830296,611,"*",4.65,1.67,5.55,-3.88,4.28e-25,1.5e-23
"189","chr3",95635271,95635709,439,"*",4.5,0.89,5.44,-4.55,4.29e-25,1.5e-23
"190","chr2",11652657,11653257,601,"*",4.59,0.63,5.55,-4.91,4.32e-25,1.5e-23
"191","chr8",17187134,17187590,457,"*",4.7,0.55,5.66,-5.11,4.57e-25,1.58e-23
"192","chr7",16920149,16920567,419,"*",4.61,1.34,5.53,-4.19,4.74e-25,1.63e-23
"193","chr14",22632487,22632921,435,"*",4.9,2.26,5.78,-3.52,4.78e-25,1.63e-23
"194","chr7",151553596,151554050,455,"*",5.41,3.38,6.22,-2.83,6.56e-25,2.23e-23
"195","chr2",238405006,238405431,426,"*",4.59,1.64,5.5,-3.86,6.77e-25,2.29e-23
"196","chr1",186201021,186201447,427,"*",4.76,-0.05,5.73,-5.78,7.2e-25,2.42e-23
"197","chr16",85499487,85500039,553,"*",6.08,4.4,6.84,-2.44,7.27e-25,2.43e-23
"198","chr20",35215644,35216069,426,"*",4.99,2.78,5.83,-3.05,7.96e-25,2.65e-23
"199","chr7",906616,907303,688,"*",5.42,3.34,6.24,-2.9,8.15e-25,2.7e-23
"200","chr2",72801935,72802457,523,"*",4.5,1.07,5.43,-4.36,8.73e-25,2.88e-23
"201","chr5",149257605,149258183,579,"*",4.7,2.33,5.56,-3.23,9.04e-25,2.97e-23
"202","chr12",33762411,33762929,519,"*",5.16,3.14,5.97,-2.83,9.61e-25,3.14e-23
"203","chr4",6416976,6417418,443,"*",4.63,0.43,5.59,-5.17,9.66e-25,3.14e-23
"204","chr1",235098904,235099620,717,"*",5.37,3.55,6.15,-2.6,1.02e-24,3.29e-23
"205","chr1",202081896,202082441,546,"*",5.44,3.18,6.28,-3.1,1.12e-24,3.62e-23
"206","chr6",33864610,33865098,489,"*",4.8,1.91,5.7,-3.79,1.3e-24,4.16e-23
"207","chr1",42255294,42255893,600,"*",4.9,2.54,5.75,-3.21,1.35e-24,4.32e-23
"208","chr14",53697930,53698353,424,"*",4.49,1.14,5.42,-4.28,1.37e-24,4.34e-23
"209","chr6",83279549,83280234,686,"*",6.07,4.69,6.76,-2.07,1.53e-24,4.82e-23
"210","chr10",63169597,63169981,385,"*",4.68,2.16,5.55,-3.39,1.7e-24,5.34e-23
"211","chr8",91705024,91705447,424,"*",4.74,2.11,5.62,-3.51,1.73e-24,5.39e-23
"212","chr22",43130400,43130855,456,"*",5.05,2.89,5.87,-2.98,2.09e-24,6.49e-23
"213","chr2",43500679,43501130,452,"*",4.71,1.64,5.62,-3.98,2.15e-24,6.66e-23
"214","chr9",82676809,82677328,520,"*",4.85,2.15,5.73,-3.59,2.26e-24,6.98e-23
"215","chr2",190405988,190406637,650,"*",5.01,2.9,5.83,-2.93,2.28e-24,6.99e-23
"216","chr5",139022595,139023446,852,"*",5.01,2.79,5.85,-3.06,2.36e-24,7.2e-23
"217","chr4",139831818,139832516,699,"*",5.45,3.47,6.26,-2.79,2.47e-24,7.5e-23
"218","chr3",174854389,174854784,396,"*",4.49,1.51,5.39,-3.88,2.78e-24,8.4e-23
"219","chr2",11262381,11262883,503,"*",5.06,2.79,5.9,-3.11,2.9e-24,8.72e-23
"220","chr1",109680602,109681258,657,"*",4.85,2.16,5.73,-3.57,2.97e-24,8.89e-23
"221","chr17",31846662,31847082,421,"*",4.74,-0.18,5.72,-5.9,3.27e-24,9.75e-23
"222","chr13",33919787,33920199,413,"*",4.65,1.72,5.55,-3.84,3.3e-24,9.81e-23
"223","chr16",85492490,85492929,440,"*",4.58,1.45,5.49,-4.04,3.43e-24,1.01e-22
"224","chr2",70843262,70843804,543,"*",4.95,2.57,5.81,-3.24,3.54e-24,1.04e-22
"225","chr3",16458800,16459236,437,"*",4.56,1.43,5.47,-4.04,4.2e-24,1.23e-22
"226","chr15",75109607,75110136,530,"*",5.14,2.78,6,-3.21,4.23e-24,1.23e-22
"227","chr4",75240227,75241074,848,"*",5.13,3.18,5.92,-2.74,4.9e-24,1.42e-22
"228","chr4",75505075,75505537,463,"*",4.48,0.35,5.43,-5.09,5.1e-24,1.48e-22
"229","chr5",2802624,2803304,681,"*",5.51,3.74,6.28,-2.54,5.31e-24,1.53e-22
"230","chr10",8126726,8127413,688,"*",4.56,1.82,5.45,-3.63,5.59e-24,1.6e-22
"231","chr4",38464157,38464631,475,"*",4.47,1.51,5.37,-3.86,5.98e-24,1.71e-22
"232","chr10",50021968,50022533,566,"*",4.53,0.7,5.48,-4.78,6.14e-24,1.75e-22
"233","chr9",130809416,130809900,485,"*",4.82,2.49,5.67,-3.17,6.75e-24,1.91e-22
"234","chr8",102527733,102528133,401,"*",4.69,2.13,5.56,-3.43,7.95e-24,2.24e-22
"235","chr3",160990320,160990778,459,"*",5.36,3.7,6.11,-2.41,1.14e-23,3.21e-22
"236","chr11",35387396,35387866,471,"*",4.52,0.63,5.47,-4.84,1.16e-23,3.25e-22
"237","chr5",173910421,173910796,376,"*",4.68,2.14,5.55,-3.41,1.28e-23,3.56e-22
"238","chr1",241964453,241964885,433,"*",4.39,0.81,5.33,-4.52,1.68e-23,4.64e-22
"239","chr14",93511441,93511864,424,"*",4.4,1,5.33,-4.34,1.69e-23,4.67e-22
"240","chrX",100000796,100001441,646,"*",4.56,2.13,5.42,-3.29,1.78e-23,4.88e-22
"241","chr17",46577269,46577799,531,"*",4.71,2.19,5.57,-3.38,1.86e-23,5.09e-22
"242","chr20",52743633,52744030,398,"*",5.74,3.9,6.52,-2.62,1.88e-23,5.13e-22
"243","chr10",76503083,76503491,409,"*",4.46,0.56,5.41,-4.85,1.97e-23,5.36e-22
"244","chr2",191651052,191651955,904,"*",5.32,3.67,6.07,-2.4,2.01e-23,5.42e-22
"245","chr2",241009256,241009698,443,"*",4.79,2.54,5.63,-3.09,2.02e-23,5.44e-22
"246","chr1",152715586,152716167,582,"*",4.66,-0.2,5.64,-5.84,2.04e-23,5.48e-22
"247","chr1",65509992,65510479,488,"*",4.5,0.56,5.45,-4.89,2.26e-23,6.04e-22
"248","chrX",109195172,109195594,423,"*",4.52,1.62,5.42,-3.8,2.41e-23,6.41e-22
"249","chr21",36634136,36634876,741,"*",4.65,2.37,5.49,-3.12,2.56e-23,6.78e-22
"250","chr10",115681605,115682167,563,"*",4.97,3.04,5.77,-2.73,2.61e-23,6.89e-22
"251","chr7",120314118,120314542,425,"*",4.39,1.53,5.29,-3.76,2.65e-23,6.98e-22
"252","chr8",122444598,122445179,582,"*",4.66,2.2,5.52,-3.32,2.79e-23,7.31e-22
"253","chr2",227015827,227016236,410,"*",4.61,1.96,5.49,-3.52,3.23e-23,8.43e-22
"254","chr12",101346032,101346833,802,"*",4.34,1.05,5.27,-4.22,3.65e-23,9.49e-22
"255","chr6",125906544,125906979,436,"*",4.55,-0.05,5.52,-5.57,3.7e-23,9.56e-22
"256","chr2",35522470,35522870,401,"*",4.55,1.47,5.46,-4,3.75e-23,9.66e-22
"257","chr17",63239822,63240190,369,"*",4.56,1.16,5.49,-4.32,3.96e-23,1.02e-21
"258","chr1",108741776,108742184,409,"*",5.29,3.27,6.11,-2.84,4.11e-23,1.05e-21
"259","chr14",50459610,50460040,431,"*",4.39,1.15,5.31,-4.16,4.78e-23,1.22e-21
"260","chr3",156886209,156886855,647,"*",4.48,1.95,5.35,-3.41,5.16e-23,1.31e-21
"261","chr17",1680156,1680561,406,"*",4.59,1.66,5.5,-3.83,5.39e-23,1.36e-21
"262","chr3",37220621,37221036,416,"*",4.43,0.24,5.39,-5.15,5.83e-23,1.47e-21
"263","chr8",97958006,97958420,415,"*",4.61,2.21,5.46,-3.25,5.94e-23,1.49e-21
"264","chr3",157217967,157218406,440,"*",4.42,0.71,5.37,-4.66,6.07e-23,1.52e-21
"265","chr10",104470344,104470872,529,"*",5.72,4.2,6.44,-2.24,7.01e-23,1.74e-21
"266","chr21",46747033,46747541,509,"*",4.61,-0.2,5.59,-5.78,7.03e-23,1.74e-21
"267","chr2",237678412,237678834,423,"*",4.63,1.87,5.52,-3.64,7.12e-23,1.76e-21
"268","chr14",24134484,24135019,536,"*",5.31,3.54,6.08,-2.54,8.16e-23,2.01e-21
"269","chr22",29215358,29216059,702,"*",5.75,4.33,6.45,-2.12,8.32e-23,2.04e-21
"270","chr11",1817538,1818195,658,"*",5.93,4.37,6.67,-2.3,9.3e-23,2.27e-21
"271","chr10",3332016,3332552,537,"*",5.02,2.87,5.85,-2.98,1.15e-22,2.8e-21
"272","chr11",20053241,20053925,685,"*",5.74,4.27,6.46,-2.18,1.24e-22,3e-21
"273","chr22",37585165,37585583,419,"*",4.71,2.52,5.54,-3.02,1.24e-22,3.01e-21
