"","seqnames","start","end","width","strand","Conc","Conc_none","Conc_Estrogen","Fold","p.value","FDR"
"76","chr5",52772582,52773319,738,"*",7.57,1.95,8.56,-6.61,2.45e-26,8.3e-24
"77","chr10",29214271,29214823,553,"*",7.91,3.01,8.89,-5.87,2.82e-26,9.45e-24
"78","chr14",94425506,94426267,762,"*",8.29,3.46,9.27,-5.81,2.92e-26,9.64e-24
"79","chr10",134577671,134579033,1363,"*",8,2.15,8.99,-6.84,3.61e-26,1.18e-23
"80","chr16",2794604,2795126,523,"*",7.95,2.65,8.93,-6.28,3.98e-26,1.28e-23
"81","chr7",152396062,152396948,887,"*",8.06,3.46,9.03,-5.57,5.65e-26,1.8e-23
"82","chr12",123554127,123555082,956,"*",8.79,4.19,9.76,-5.57,6.16e-26,1.94e-23
"83","chr2",237678320,237678916,597,"*",7.88,3.28,8.85,-5.57,7.29e-26,2.27e-23
"84","chr1",200306246,200306752,507,"*",7.51,2.11,8.5,-6.38,7.9e-26,2.42e-23
"85","chr7",99601401,99602352,952,"*",8.21,3.75,9.17,-5.43,1.24e-25,3.75e-23
"86","chr20",52224743,52225145,403,"*",7.73,1.41,8.73,-7.32,1.31e-25,3.94e-23
"87","chr1",144992774,144993265,492,"*",8.47,4.57,9.42,-4.85,1.35e-25,4e-23
"88","chr7",906655,907323,669,"*",8.69,4.38,9.65,-5.27,1.42e-25,4.13e-23
"89","chr2",42569516,42570368,853,"*",8.07,3.5,9.04,-5.54,1.43e-25,4.13e-23
"90","chr6",125526084,125526698,615,"*",7.53,1.45,8.52,-7.08,1.44e-25,4.13e-23
"91","chr12",121569429,121570276,848,"*",7.85,2.52,8.84,-6.31,2.11e-25,5.97e-23
"92","chr14",22741151,22741848,698,"*",7.89,1.87,8.88,-7,2.26e-25,6.34e-23
"93","chr20",47188640,47189231,592,"*",9.54,5.53,10.49,-4.96,2.53e-25,7e-23
"94","chr5",66511311,66512273,963,"*",8.58,4.13,9.55,-5.42,2.59e-25,7.1e-23
"95","chr19",38789508,38790339,832,"*",8.5,4.12,9.47,-5.35,2.61e-25,7.1e-23
"96","chr4",40365256,40366237,982,"*",8.92,4.72,9.88,-5.16,2.72e-25,7.31e-23
"97","chr9",77715820,77716478,659,"*",8.77,4.7,9.73,-5.03,2.77e-25,7.33e-23
"98","chr5",145407144,145407879,736,"*",7.91,0.71,8.91,-8.2,2.78e-25,7.33e-23
"99","chr1",22798978,22799932,955,"*",7.49,2.7,8.46,-5.76,2.96e-25,7.7e-23
"100","chr3",134046363,134046859,497,"*",7.93,2.31,8.92,-6.61,3.36e-25,8.68e-23
"101","chr10",115681554,115682198,645,"*",7.7,3.38,8.67,-5.28,3.46e-25,8.83e-23
"102","chr14",104159595,104160370,776,"*",8.99,4.47,9.96,-5.49,3.68e-25,9.32e-23
"103","chr2",159579991,159580277,287,"*",8.5,4.32,9.46,-5.14,3.99e-25,9.98e-23
"104","chr5",32144585,32145278,694,"*",7.6,2.83,8.57,-5.74,4.69e-25,1.16e-22
"105","chr17",59800354,59801137,784,"*",11.6,8.49,12.51,-4.02,5.91e-25,1.45e-22
"106","chr9",109893676,109894463,788,"*",7.74,0.89,8.73,-7.84,6.01e-25,1.46e-22
"107","chr6",75678934,75680155,1222,"*",7.66,2.48,8.64,-6.17,6.28e-25,1.51e-22
"108","chr2",149365042,149365663,622,"*",7.49,1.31,8.48,-7.17,6.42e-25,1.53e-22
"109","chr20",58563073,58563706,634,"*",8.51,4.18,9.48,-5.29,7.13e-25,1.69e-22
"110","chr6",9497030,9497549,520,"*",7.34,1.79,8.33,-6.54,8.43e-25,1.98e-22
"111","chr17",48394509,48395091,583,"*",7.3,2.11,8.28,-6.17,8.87e-25,2.06e-22
"112","chr6",36086086,36086980,895,"*",7.79,1.99,8.78,-6.79,8.99e-25,2.07e-22
"113","chr7",26598013,26598662,650,"*",7.59,1.58,8.58,-7.01,9.2e-25,2.1e-22
"114","chr1",75117933,75118686,754,"*",7.69,2.3,8.67,-6.37,9.4e-25,2.13e-22
"115","chr2",42593314,42593898,585,"*",7.94,2.91,8.91,-6.01,1.49e-24,3.34e-22
"116","chr3",150454788,150455599,812,"*",9.3,5.74,10.23,-4.5,1.66e-24,3.7e-22
"117","chr7",157085213,157085879,667,"*",7.85,2.72,8.83,-6.11,1.72e-24,3.78e-22
"118","chr1",162135308,162136166,859,"*",7.94,2.44,8.93,-6.49,1.87e-24,4.09e-22
"119","chr16",19999014,19999818,805,"*",7.56,1.18,8.55,-7.38,2.59e-24,5.6e-22
"120","chr15",90371004,90371563,560,"*",7.46,2.07,8.44,-6.38,2.61e-24,5.6e-22
"121","chr2",47197712,47198362,651,"*",7.46,2.16,8.44,-6.28,2.71e-24,5.78e-22
"122","chr7",105280130,105280973,844,"*",8.99,4.79,9.95,-5.16,2.76e-24,5.83e-22
"123","chr2",66616794,66617561,768,"*",7.96,3.91,8.92,-5.01,3.26e-24,6.83e-22
"124","chr6",14732585,14733666,1082,"*",7.87,2.59,8.85,-6.27,3.49e-24,7.25e-22
"125","chr17",45770378,45771006,629,"*",8.03,3.35,9.01,-5.66,3.58e-24,7.39e-22
"126","chr9",110303746,110304319,574,"*",8.52,4.51,9.47,-4.96,4.52e-24,9.25e-22
"127","chr2",133634422,133635223,802,"*",7.52,0.71,8.52,-7.81,4.76e-24,9.66e-22
"128","chr9",111241385,111241612,228,"*",8.3,3.96,9.27,-5.31,5.52e-24,1.11e-21
"129","chr1",215655318,215655865,548,"*",7.46,1.12,8.45,-7.33,5.53e-24,1.11e-21
"130","chr2",28565110,28565669,560,"*",7.26,1.56,8.25,-6.69,6.55e-24,1.3e-21
"131","chr9",82676801,82677402,602,"*",7.93,0.17,8.92,-8.75,6.97e-24,1.37e-21
"132","chr1",42255047,42255896,850,"*",8.91,5.23,9.85,-4.62,7.33e-24,1.43e-21
"133","chr10",29919080,29919722,643,"*",7.86,3.65,8.82,-5.17,7.77e-24,1.51e-21
"134","chr10",30100978,30101783,806,"*",8.35,4.17,9.31,-5.15,8.07e-24,1.55e-21
"135","chr9",136738281,136738864,584,"*",7.7,1.05,8.69,-7.64,8.13e-24,1.55e-21
"136","chr14",99369630,99370526,897,"*",7.83,2.26,8.82,-6.55,8.56e-24,1.62e-21
"137","chr14",94856913,94857485,573,"*",7.37,1.33,8.36,-7.03,9.08e-24,1.71e-21
"138","chr22",29781329,29782544,1216,"*",7.63,2.37,8.61,-6.24,9.16e-24,1.71e-21
"139","chr9",108674970,108675729,760,"*",7.73,1.66,8.72,-7.05,9.82e-24,1.82e-21
"140","chr11",14037126,14037723,598,"*",7.87,0.17,8.86,-8.69,9.95e-24,1.83e-21
"141","chr7",131311361,131311902,542,"*",7.4,2.69,8.37,-5.69,1.04e-23,1.91e-21
"142","chr9",116846373,116847036,664,"*",7.29,1.22,8.28,-7.06,1.09e-23,1.97e-21
"143","chr1",65509865,65510521,657,"*",7.48,2.31,8.46,-6.15,1.11e-23,2.01e-21
"144","chr15",74002401,74002848,448,"*",7.28,3.16,8.24,-5.08,1.14e-23,2.04e-21
"145","chrX",109195109,109195753,645,"*",7.39,2.38,8.37,-5.99,1.2e-23,2.13e-21
"146","chr17",26852154,26852797,644,"*",7.38,2.45,8.36,-5.91,1.34e-23,2.37e-21
"147","chr21",16377588,16378108,521,"*",7.97,3.19,8.94,-5.75,1.48e-23,2.6e-21
"148","chr10",125481001,125481895,895,"*",8.37,4.55,9.32,-4.77,1.63e-23,2.81e-21
"149","chr3",193597219,193598103,885,"*",9.27,5.59,10.21,-4.62,1.64e-23,2.81e-21
"150","chr10",172300,173360,1061,"*",8.33,3.98,9.29,-5.31,1.65e-23,2.81e-21
"151","chr17",39662705,39663373,669,"*",7.39,2.58,8.36,-5.78,1.65e-23,2.81e-21
"152","chr17",63538645,63539362,718,"*",8.26,4.41,9.21,-4.8,1.65e-23,2.81e-21
"153","chr11",20053220,20053990,771,"*",8.99,5.25,9.94,-4.68,1.7e-23,2.85e-21
"154","chr13",99302385,99303088,704,"*",8.49,4.4,9.45,-5.05,1.7e-23,2.85e-21
"155","chr11",2214391,2215123,733,"*",8.43,4.23,9.39,-5.16,1.75e-23,2.91e-21
"156","chr9",90958982,90960041,1060,"*",9.07,5.58,10.01,-4.43,1.78e-23,2.94e-21
"157","chr9",74624604,74625354,751,"*",7.82,3.98,8.77,-4.8,2.04e-23,3.35e-21
"158","chr8",102132810,102133337,528,"*",8.28,3.86,9.25,-5.39,2.05e-23,3.35e-21
"159","chr17",64929498,64930391,894,"*",8.05,3.09,9.02,-5.94,2.12e-23,3.45e-21
"160","chr10",5698439,5699025,587,"*",7.48,2.14,8.46,-6.33,2.17e-23,3.51e-21
"161","chr1",108741703,108742289,587,"*",8.73,5.09,9.67,-4.58,2.21e-23,3.54e-21
"162","chr1",65448741,65449317,577,"*",7.39,3.07,8.35,-5.28,2.5e-23,3.98e-21
"163","chr1",203028423,203028927,505,"*",7.45,2.41,8.43,-6.02,2.63e-23,4.16e-21
"164","chr17",63239741,63240235,495,"*",7.79,3.11,8.76,-5.64,2.67e-23,4.19e-21
"165","chr9",33233869,33234630,762,"*",8.95,5.16,9.9,-4.73,2.91e-23,4.54e-21
"166","chr11",77970789,77971612,824,"*",8.31,4.23,9.27,-5.04,2.96e-23,4.59e-21
"167","chr8",68292850,68293773,924,"*",8.13,4.05,9.09,-5.05,3.16e-23,4.87e-21
"168","chr20",49189899,49190420,522,"*",7.43,1.22,8.42,-7.19,3.45e-23,5.29e-21
"169","chr7",124632695,124633126,432,"*",7.48,2.19,8.46,-6.28,3.48e-23,5.32e-21
"170","chr6",134438299,134438924,626,"*",7.92,3.95,8.87,-4.92,3.53e-23,5.36e-21
"171","chr20",19562149,19562712,564,"*",7.14,1.47,8.13,-6.66,3.61e-23,5.44e-21
"172","chr10",5538334,5539029,696,"*",8.53,4.34,9.49,-5.14,4e-23,6e-21
"173","chr1",229283815,229284355,541,"*",7.58,2.67,8.55,-5.88,4.3e-23,6.42e-21
"174","chr3",156530157,156530807,651,"*",8.87,5.33,9.8,-4.47,4.63e-23,6.85e-21
"175","chr20",19113776,19114482,707,"*",7.79,2.33,8.78,-6.45,4.65e-23,6.85e-21
"176","chr9",128213168,128213855,688,"*",7.59,2.8,8.57,-5.77,5.07e-23,7.39e-21
"177","chr16",15082088,15082691,604,"*",7.37,2.26,8.35,-6.08,5.07e-23,7.39e-21
"178","chr11",101169865,101170700,836,"*",7.75,2.99,8.73,-5.73,5.19e-23,7.52e-21
"179","chrX",154216187,154216847,661,"*",8.43,4.84,9.37,-4.53,5.29e-23,7.63e-21
"180","chr8",141267843,141268553,711,"*",7.76,2.54,8.74,-6.2,5.44e-23,7.79e-21
"181","chr11",78770761,78771762,1002,"*",9.36,5.76,10.3,-4.54,5.72e-23,8.15e-21
"182","chr13",24062566,24063132,567,"*",7.24,1.33,8.23,-6.9,5.78e-23,8.19e-21
"183","chr2",238404938,238405515,578,"*",8.32,3.82,9.29,-5.47,6.54e-23,9.22e-21
"184","chr20",55732446,55732993,548,"*",9.15,5.57,10.09,-4.51,6.67e-23,9.35e-21
"185","chr20",49067606,49068489,884,"*",7.4,1.58,8.39,-6.81,7.18e-23,1e-20
"186","chr2",218196181,218197153,973,"*",7.76,3.73,8.72,-4.98,7.31e-23,1.01e-20
"187","chr1",201322191,201322920,730,"*",7.89,3.18,8.86,-5.68,7.85e-23,1.08e-20
"188","chr16",2896374,2897371,998,"*",8.41,4.65,9.36,-4.7,8.46e-23,1.16e-20
"189","chr4",6416883,6417581,699,"*",7.7,3.21,8.67,-5.45,8.74e-23,1.19e-20
"190","chr1",234688699,234689262,564,"*",7.54,3.1,8.51,-5.4,1.01e-22,1.37e-20
"191","chr13",41591258,41591677,420,"*",7.11,2.05,8.09,-6.04,1.03e-22,1.39e-20
"192","chr2",201175320,201176046,727,"*",7.13,1.29,8.11,-6.83,1.11e-22,1.5e-20
"193","chr3",58038078,58038689,612,"*",7.49,2.47,8.47,-6,1.13e-22,1.51e-20
"194","chr2",237601152,237602034,883,"*",7.89,3.34,8.86,-5.52,1.16e-22,1.54e-20
"195","chr21",43795456,43796052,597,"*",7.61,2.74,8.58,-5.85,1.29e-22,1.71e-20
"196","chr2",202850274,202850845,572,"*",7.41,3.07,8.37,-5.3,1.31e-22,1.72e-20
"197","chrX",12965922,12966527,606,"*",7.12,1.85,8.1,-6.25,1.44e-22,1.89e-20
"198","chr3",176671369,176672041,673,"*",7.65,3.44,8.61,-5.16,1.68e-22,2.19e-20
"199","chr16",80057722,80058317,596,"*",7.67,3.9,8.61,-4.71,1.75e-22,2.26e-20
"200","chrX",119806215,119806726,512,"*",7.31,1.1,8.3,-7.2,2.18e-22,2.81e-20
"201","chr11",1793629,1794306,678,"*",7.55,2.59,8.53,-5.94,2.19e-22,2.81e-20
"202","chr17",72756666,72757265,600,"*",8.82,5.18,9.76,-4.58,2.29e-22,2.93e-20
"203","chr7",155895222,155895822,601,"*",7.24,1.1,8.23,-7.12,2.31e-22,2.94e-20
"204","chr7",140692286,140692764,479,"*",7.4,1.1,8.4,-7.29,2.38e-22,3.01e-20
"205","chr19",46381232,46381929,698,"*",7.6,1.39,8.59,-7.2,2.44e-22,3.06e-20
"206","chr3",153936072,153936945,874,"*",8.03,4.31,8.98,-4.66,2.44e-22,3.06e-20
"207","chr16",85886821,85887307,487,"*",7.29,3.13,8.24,-5.12,2.49e-22,3.1e-20
"208","chr14",90969754,90970584,831,"*",7.8,2.19,8.78,-6.6,2.51e-22,3.11e-20
"209","chr17",45751026,45751895,870,"*",7.8,3.36,8.77,-5.41,2.57e-22,3.17e-20
"210","chr7",101615981,101616811,831,"*",8.49,4.36,9.45,-5.08,2.66e-22,3.27e-20
"211","chr8",29140345,29140878,534,"*",7.22,3.21,8.17,-4.96,3e-22,3.67e-20
"212","chr10",79169722,79170306,585,"*",7.49,3.04,8.46,-5.42,3.13e-22,3.8e-20
"213","chr11",63389680,63390414,735,"*",7.2,2.05,8.18,-6.12,3.15e-22,3.81e-20
"214","chr18",9705170,9705711,542,"*",7.27,2.09,8.25,-6.17,3.46e-22,4.17e-20
"215","chr5",172718850,172719515,666,"*",7.29,3.14,8.25,-5.11,3.5e-22,4.2e-20
"216","chr2",43015861,43016521,661,"*",7.83,3.61,8.79,-5.18,3.6e-22,4.3e-20
"217","chr10",105691025,105691825,801,"*",7.17,2.15,8.15,-6,3.88e-22,4.61e-20
"218","chr17",64504318,64504772,455,"*",7.4,2.19,8.38,-6.2,4.35e-22,5.14e-20
"219","chrX",149209266,149209982,717,"*",7.91,3.45,8.87,-5.42,4.76e-22,5.61e-20
"220","chr3",99822748,99823558,811,"*",7.7,3.68,8.65,-4.97,4.91e-22,5.75e-20
"221","chr16",85499329,85500231,903,"*",9.62,6.04,10.56,-4.51,5.1e-22,5.95e-20
"222","chr5",71044148,71044796,649,"*",7.09,1.95,8.07,-6.12,5.24e-22,6.09e-20
"223","chr1",150980293,150981009,717,"*",8.1,3.76,9.06,-5.31,5.61e-22,6.49e-20
"224","chr17",1680086,1680627,542,"*",7.31,2.61,8.28,-5.67,6.16e-22,7.09e-20
"225","chr10",73272555,73273274,720,"*",7.26,1.75,8.24,-6.5,6.43e-22,7.36e-20
"226","chr5",55964701,55965599,899,"*",8.01,-0.2,9.01,-9.2,6.53e-22,7.45e-20
"227","chr2",112292943,112293388,446,"*",7.08,1.76,8.06,-6.31,6.67e-22,7.57e-20
"228","chr4",6752459,6753183,725,"*",7.81,3.2,8.78,-5.57,6.83e-22,7.73e-20
"229","chr2",220264552,220265454,903,"*",8.62,4.93,9.56,-4.63,6.92e-22,7.79e-20
"230","chr2",218231537,218232517,981,"*",7.5,3.48,8.46,-4.98,7.22e-22,8.09e-20
"231","chr16",83976362,83977133,772,"*",7.31,3.07,8.27,-5.2,7.31e-22,8.16e-20
"232","chr11",35387378,35387928,551,"*",7.52,2.58,8.5,-5.92,7.53e-22,8.37e-20
"233","chr2",135580858,135581353,496,"*",6.97,1.96,7.95,-5.99,7.7e-22,8.53e-20
"234","chr17",27485753,27486265,513,"*",7.28,0.92,8.27,-7.35,8.87e-22,9.77e-20
"235","chrX",130626965,130627579,615,"*",7.99,3.7,8.96,-5.25,8.97e-22,9.84e-20
"236","chr12",123547302,123548089,788,"*",7.95,3.66,8.91,-5.25,9.81e-22,1.07e-19
"237","chr15",93288982,93289671,690,"*",8.69,5.15,9.63,-4.48,9.95e-22,1.08e-19
"238","chrX",10001159,10001949,791,"*",7.27,2.81,8.23,-5.42,1.04e-21,1.13e-19
"239","chr2",237640323,237641147,825,"*",7.48,2.92,8.45,-5.53,1.08e-21,1.16e-19
"240","chr12",67877324,67878239,916,"*",8.51,5.01,9.44,-4.43,1.15e-21,1.24e-19
"241","chr10",28784855,28786046,1192,"*",8.38,4.64,9.33,-4.69,1.19e-21,1.27e-19
"242","chr3",194041510,194042050,541,"*",7.75,3.27,8.72,-5.45,1.2e-21,1.28e-19
"243","chr11",2008055,2008864,810,"*",8.25,3.4,9.22,-5.82,1.21e-21,1.28e-19
"244","chr14",76028320,76028885,566,"*",7.52,3.32,8.48,-5.15,1.29e-21,1.37e-19
"245","chr2",28582067,28582651,585,"*",7.17,2.05,8.15,-6.09,1.31e-21,1.38e-19
"246","chr3",14243732,14244245,514,"*",7.12,2.36,8.09,-5.73,1.41e-21,1.48e-19
"247","chr9",87562436,87563049,614,"*",7.11,0.83,8.1,-7.27,1.44e-21,1.5e-19
"248","chr11",2189958,2191093,1136,"*",8.45,4.29,9.41,-5.12,1.53e-21,1.6e-19
"249","chr16",68460040,68460588,549,"*",7.41,2.04,8.39,-6.35,1.6e-21,1.65e-19
"250","chr17",60837172,60837943,772,"*",7.99,-0.2,8.99,-9.18,1.6e-21,1.65e-19
"251","chr16",58417643,58418521,879,"*",7.31,3.46,8.26,-4.8,1.75e-21,1.79e-19
"252","chr5",59968488,59969181,694,"*",7.42,0.26,8.41,-8.15,1.78e-21,1.82e-19
"253","chr21",32901529,32902147,619,"*",7.92,4.33,8.86,-4.53,2.06e-21,2.1e-19
"254","chr3",64598638,64599339,702,"*",7.84,-0.2,8.84,-9.03,2.3e-21,2.33e-19
"255","chr4",25608186,25608879,694,"*",7.81,3.94,8.76,-4.81,2.34e-21,2.36e-19
"256","chr14",93511297,93511965,669,"*",7.66,2.96,8.63,-5.67,2.35e-21,2.36e-19
"257","chr1",117195185,117195797,613,"*",7.53,0.17,8.53,-8.35,2.35e-21,2.36e-19
"258","chr1",190254148,190254758,611,"*",6.99,1.22,7.98,-6.76,2.37e-21,2.37e-19
"259","chr20",34650527,34651176,650,"*",7.1,1.39,8.08,-6.69,2.41e-21,2.4e-19
"260","chr3",160818558,160819100,543,"*",8.18,4.43,9.13,-4.7,2.52e-21,2.49e-19
"261","chr9",130820099,130820853,755,"*",7.36,2.74,8.33,-5.59,2.53e-21,2.49e-19
"262","chr20",48693106,48693608,503,"*",7.97,2.88,8.95,-6.06,2.53e-21,2.49e-19
"263","chr20",61829458,61830354,897,"*",7.33,1.7,8.31,-6.62,2.63e-21,2.58e-19
"264","chr14",77866143,77867119,977,"*",9.88,6.72,10.8,-4.08,2.83e-21,2.77e-19
"265","chr1",244466192,244466724,533,"*",7.2,2.64,8.17,-5.53,2.9e-21,2.82e-19
"266","chr2",186051971,186052531,561,"*",7.35,2.83,8.32,-5.48,2.93e-21,2.84e-19
"267","chr11",63387433,63387898,466,"*",7.15,1.03,8.14,-7.11,2.99e-21,2.88e-19
"268","chr4",141171183,141171767,585,"*",7.18,0.71,8.18,-7.46,3.21e-21,3.09e-19
"269","chr12",133198845,133199373,529,"*",7,0.98,7.99,-7.02,3.24e-21,3.11e-19
"270","chr8",112126321,112126770,450,"*",7.04,1.78,8.02,-6.24,3.28e-21,3.13e-19
"271","chr18",10893150,10893627,478,"*",7.25,0.61,8.25,-7.64,3.36e-21,3.19e-19
"272","chr4",2938724,2939318,595,"*",7.86,2.77,8.84,-6.07,4.12e-21,3.91e-19
