"","seqnames","start","end","width","strand","Conc","Conc_none","Conc_Estrogen","Fold","p.value","FDR"
"113","chr6",134438481,134439138,658,"*",3.34,-0.23,4.28,-4.51,6.08e-06,0.000637
"114","chr14",67946261,67947557,1297,"*",3.44,-0.23,4.38,-4.61,6.35e-06,0.00066
"115","chr16",500002,502286,2285,"*",5,3.81,5.65,-1.84,7.01e-06,0.000723
"116","chr21",41691367,41692675,1309,"*",5.96,5.15,6.47,-1.32,7.08e-06,0.000724
"117","chr20",34673172,34674393,1222,"*",3.7,1.47,4.54,-3.07,7.58e-06,0.000768
"118","chr10",658174,660689,2516,"*",4.54,5.32,2.76,2.56,7.88e-06,0.000792
"119","chr7",3147965,3150148,2184,"*",4.25,5.08,2.05,3.03,7.97e-06,0.000794
"120","chr15",90326355,90327468,1114,"*",3.3,-0.23,4.24,-4.47,1.03e-05,0.00102
"121","chr2",219176172,219179064,2893,"*",4.69,5.39,3.28,2.1,1.08e-05,0.00105
"122","chr8",102617891,102621331,3441,"*",5.31,6,3.93,2.07,1.1e-05,0.00107
"123","chr12",104613003,104615741,2739,"*",3.38,4.29,0.37,3.92,1.15e-05,0.0011
"124","chr8",125868864,125869807,944,"*",4.07,4.89,1.99,2.91,1.16e-05,0.00111
"125","chr6",54739509,54741664,2156,"*",5.26,5.85,4.21,1.64,1.28e-05,0.00121
"126","chr22",43129586,43131481,1896,"*",3.32,-0.23,4.26,-4.49,1.31e-05,0.00123
"127","chr14",77865564,77866390,827,"*",3.2,-0.23,4.13,-4.36,1.34e-05,0.00125
"128","chr1",181086600,181089817,3218,"*",3.97,4.78,1.96,2.82,1.36e-05,0.00126
"129","chr9",4861566,4863028,1463,"*",3.5,1.11,4.36,-3.25,1.4e-05,0.00129
"130","chr4",24598573,24601317,2745,"*",5.14,5.76,4.01,1.76,1.75e-05,0.00159
"131","chr3",50301320,50303918,2599,"*",5.43,4.39,6.03,-1.65,1.76e-05,0.00159
"132","chr22",46886550,46889049,2500,"*",4.58,3.24,5.26,-2.02,2.01e-05,0.0018
"133","chr2",113344280,113347079,2800,"*",4.48,2.71,5.25,-2.54,2.08e-05,0.00185
"134","chr22",29218190,29220524,2335,"*",5.84,5.04,6.34,-1.3,2.15e-05,0.0019
"135","chr17",79632143,79635143,3001,"*",6.62,5.9,7.1,-1.2,2.21e-05,0.00194
"136","chr21",41693413,41694142,730,"*",5.58,4.68,6.13,-1.44,2.23e-05,0.00194
"137","chr5",117344624,117345526,903,"*",3.15,-0.23,4.08,-4.31,2.36e-05,0.00202
"138","chr3",112737922,112739130,1209,"*",4.81,3.6,5.46,-1.87,2.36e-05,0.00202
"139","chr4",129243197,129244777,1581,"*",3.19,4.12,-0.28,4.4,2.39e-05,0.00204
"140","chr17",72759553,72761266,1714,"*",3.92,2.05,4.71,-2.67,2.42e-05,0.00205
"141","chr19",54145208,54147095,1888,"*",3.83,4.62,1.97,2.65,2.56e-05,0.00215
"142","chrX",54555431,54557580,2150,"*",5.71,4.67,6.3,-1.64,2.7e-05,0.00226
"143","chr14",93482799,93484468,1670,"*",3.13,-0.23,4.06,-4.28,2.88e-05,0.00238
"144","chr3",122057437,122058033,597,"*",3.08,4.01,-0.28,4.28,3.07e-05,0.00252
"145","chr1",151961419,151963367,1949,"*",4.22,5,2.42,2.57,3.11e-05,0.00255
"146","chr5",66544408,66545399,992,"*",3.12,0.25,4.02,-3.77,3.19e-05,0.00259
"147","chr9",22106004,22108030,2027,"*",4.18,4.97,2.34,2.62,3.28e-05,0.00263
"148","chr5",139021968,139024899,2932,"*",6.13,5.44,6.59,-1.16,3.28e-05,0.00263
"149","chr21",41712704,41713318,615,"*",4.04,2,4.86,-2.85,3.47e-05,0.00275
"150","chr9",83933038,83933820,783,"*",3.43,4.3,0.92,3.38,3.48e-05,0.00275
"151","chr2",75138376,75139512,1137,"*",3.04,-0.23,3.96,-4.19,3.53e-05,0.00277
"152","chr3",13554761,13556092,1332,"*",4.79,3.54,5.45,-1.91,3.65e-05,0.00285
"153","chr3",169666028,169667786,1759,"*",3.08,-0.23,4.01,-4.24,3.82e-05,0.00296
"154","chr1",28831500,28838472,6973,"*",7.32,6.83,7.69,-0.85,3.92e-05,0.00302
"155","chr17",60869550,60871330,1781,"*",3.1,-0.23,4.02,-4.25,4.3e-05,0.00328
"156","chr2",238446041,238449717,3677,"*",4.77,3.44,5.45,-2.01,4.32e-05,0.00328
"157","chr20",50366031,50367648,1618,"*",6.19,6.68,5.44,1.24,4.36e-05,0.00329
"158","chr12",45990551,45991053,503,"*",3.18,0.13,4.09,-3.96,4.63e-05,0.00347
"159","chr16",11222217,11222616,400,"*",3.14,-0.23,4.07,-4.3,4.71e-05,0.00351
"160","chr3",184157072,184158578,1507,"*",3.38,4.32,-0.28,4.6,5.03e-05,0.00372
"161","chr12",106645046,106646502,1457,"*",2.99,-0.23,3.91,-4.14,5.13e-05,0.00377
"162","chr16",58417297,58417868,572,"*",3.01,-0.23,3.93,-4.16,5.26e-05,0.00385
"163","chr3",161056703,161057331,629,"*",3.78,1.89,4.57,-2.67,5.32e-05,0.00387
"164","chr5",136477328,136478894,1567,"*",3.02,-0.23,3.95,-4.18,5.47e-05,0.00395
"165","chr20",49344464,49344722,259,"*",3.07,-0.23,4,-4.23,5.71e-05,0.00409
"166","chr12",15368183,15369295,1113,"*",4.39,3.1,5.06,-1.96,5.72e-05,0.00409
"167","chr17",64932456,64933041,586,"*",3.02,-0.23,3.95,-4.18,5.81e-05,0.00412
"168","chr9",95749914,95751687,1774,"*",3.03,0.25,3.93,-3.68,6.04e-05,0.00426
"169","chr11",2210888,2211871,984,"*",3.01,-0.23,3.93,-4.16,6.16e-05,0.00432
"170","chr4",3112547,3115677,3131,"*",5.54,3.44,6.36,-2.91,6.49e-05,0.00452
"171","chr6",107192732,107195239,2508,"*",3.02,3.95,-0.28,4.22,6.79e-05,0.00471
"172","chr22",29913032,29914891,1860,"*",3.06,0.42,3.94,-3.52,6.9e-05,0.00475
"173","chr1",42254008,42254870,863,"*",2.97,-0.23,3.89,-4.12,7.09e-05,0.00486
"174","chr5",174069993,174071320,1328,"*",3.82,4.62,1.91,2.71,7.2e-05,0.00491
"175","chr12",122188324,122188890,567,"*",2.98,-0.23,3.9,-4.13,7.56e-05,0.00512
"176","chr16",81214085,81215402,1318,"*",4,4.78,2.18,2.61,7.88e-05,0.0053
"177","chr3",148996327,148997693,1367,"*",3.01,3.93,-0.28,4.21,7.99e-05,0.00535
"178","chr9",129829319,129830906,1588,"*",3.77,4.54,1.99,2.56,8.94e-05,0.00595
"179","chr8",36918994,36920389,1396,"*",2.9,-0.23,3.82,-4.05,9.37e-05,0.00621
"180","chr17",78518424,78519762,1339,"*",5.2,4.3,5.76,-1.45,1e-04,0.00658
"181","chr1",236562565,236563858,1294,"*",4.58,5.23,3.36,1.87,0.000103,0.00672
"182","chr10",112549262,112550203,942,"*",2.89,-0.23,3.8,-4.03,0.000105,0.00681
"183","chr10",82228031,82229431,1401,"*",3.58,4.38,1.57,2.81,0.000107,0.00691
"184","chr13",50892722,50895040,2319,"*",3.4,4.24,1.19,3.05,0.000111,0.00713
"185","chr1",19922722,19924911,2190,"*",5.36,4.41,5.93,-1.52,0.000113,0.00725
"186","chr1",85680863,85681816,954,"*",4.19,4.87,2.85,2.03,0.000114,0.00728
"187","chr11",1804626,1805483,858,"*",4.11,2.74,4.81,-2.07,0.000118,0.00747
"188","chr12",108158193,108159964,1772,"*",4.41,5.1,3.02,2.07,0.000119,0.00747
"189","chr9",33472702,33473807,1106,"*",4.45,3.21,5.11,-1.89,0.00012,0.00753
"190","chr12",126375426,126376313,888,"*",3.07,4,-0.28,4.28,0.000133,0.00827
"191","chr17",45752092,45752716,625,"*",2.88,-0.23,3.79,-4.02,0.000134,0.00833
"192","chr7",137637522,137639555,2034,"*",4.83,5.5,3.58,1.92,0.000137,0.0084
"193","chr20",20421964,20422360,397,"*",2.83,-0.23,3.74,-3.97,0.000137,0.0084
"194","chr15",74251424,74252396,973,"*",3.05,0.6,3.92,-3.31,0.000139,0.00848
"195","chr10",65471249,65472547,1299,"*",3.13,0.6,4,-3.4,0.00014,0.0085
"196","chrX",109415925,109418014,2090,"*",5.12,4.21,5.67,-1.46,0.000141,0.00854
"197","chr14",101874164,101875589,1426,"*",4.08,2.53,4.81,-2.27,0.000144,0.00864
"198","chr3",64227768,64228624,857,"*",2.92,3.84,-0.28,4.11,0.000146,0.00872
"199","chr17",79939509,79941513,2005,"*",3.86,4.64,2.07,2.57,0.000147,0.00872
"200","chr6",15088426,15091959,3534,"*",6.58,5.97,7.01,-1.04,0.000147,0.00872
"201","chr9",92282780,92284278,1499,"*",4.5,3.06,5.21,-2.15,0.000149,0.00879
"202","chr1",207999749,208000539,791,"*",2.81,-0.23,3.72,-3.95,0.00015,0.00881
"203","chr16",89909107,89910480,1374,"*",4.44,5.09,3.21,1.88,0.000152,0.00889
"204","chr4",164376695,164376955,261,"*",2.85,-0.23,3.76,-3.99,0.000153,0.0089
"205","chr9",115898931,115900721,1791,"*",4.75,5.44,3.36,2.09,0.000163,0.00942
"206","chr2",120774748,120776279,1532,"*",3.12,3.97,0.76,3.21,0.000164,0.00943
"207","chr17",43119993,43121731,1739,"*",4.48,3.24,5.14,-1.9,0.000165,0.00943
"208","chr17",57852616,57853526,911,"*",2.89,3.78,0.08,3.7,0.000168,0.00956
"209","chrX",54772952,54773896,945,"*",3.85,2.26,4.58,-2.32,0.00017,0.00962
"210","chr12",75265352,75266757,1406,"*",3.16,0.89,4,-3.11,0.00017,0.00962
"211","chr6",110875740,110876792,1053,"*",2.79,-0.23,3.7,-3.93,0.000178,0.01
"212","chr14",65583831,65584976,1146,"*",2.84,-0.23,3.75,-3.98,0.000182,0.0101
"213","chr14",59777809,59778387,579,"*",3.16,3.98,0.99,2.99,0.000182,0.0101
"214","chr4",119199450,119200873,1424,"*",5.1,4.15,5.67,-1.52,0.000186,0.0103
"215","chr2",187636168,187637381,1214,"*",3.43,4.25,1.37,2.87,0.000186,0.0103
"216","chr9",131955946,131956699,754,"*",2.85,-0.23,3.76,-3.99,0.000187,0.0103
"217","chr15",64189144,64189698,555,"*",2.78,-0.23,3.69,-3.92,0.000188,0.0103
"218","chr5",11734090,11734586,497,"*",4.25,4.91,3,1.91,0.000191,0.0104
"219","chr16",56405278,56405666,389,"*",3.48,1.76,4.24,-2.48,0.000199,0.0107
"220","chr4",162122492,162123610,1119,"*",2.77,3.68,-0.28,3.95,0.000202,0.0109
"221","chr2",39674802,39676388,1587,"*",4.89,3.89,5.47,-1.57,0.000205,0.011
"222","chr6",39234993,39235365,373,"*",3.03,0.75,3.88,-3.13,0.00021,0.0112
"223","chr4",113203672,113204388,717,"*",4.03,2.56,4.74,-2.18,0.000212,0.0112
"224","chr11",73586644,73588716,2073,"*",5.98,5.27,6.46,-1.19,0.000215,0.0113
"225","chr6",151936300,151938450,2151,"*",5.21,2.41,6.1,-3.7,0.000215,0.0113
"226","chr8",96097581,96099239,1659,"*",5.34,5.89,4.43,1.47,0.000217,0.0114
"227","chr8",37001565,37003467,1903,"*",4.25,2.94,4.93,-1.99,0.000226,0.0118
"228","chr19",13226593,13228368,1776,"*",5.73,5.03,6.19,-1.16,0.000233,0.0121
"229","chr6",17388960,17390589,1630,"*",4.87,3.61,5.53,-1.92,0.000235,0.0122
"230","chr2",161082301,161086945,4645,"*",6.39,6.84,5.73,1.11,0.000238,0.0123
"231","chr3",50305974,50309484,3511,"*",6.25,5.63,6.68,-1.06,0.000242,0.0124
"232","chr4",89065567,89067186,1620,"*",3.29,4.15,0.81,3.34,0.00025,0.0128
"233","chr21",46192941,46193637,697,"*",3.12,4,0.49,3.51,0.000255,0.0129
"234","chr15",93411475,93413773,2299,"*",3.98,4.7,2.47,2.22,0.000257,0.013
"235","chr1",51787277,51787658,382,"*",2.8,0.18,3.68,-3.5,0.000263,0.0133
"236","chr20",56345995,56348328,2334,"*",5.01,5.91,2.11,3.8,0.000267,0.0134
"237","chr2",219308758,219311054,2297,"*",4.51,5.16,3.29,1.88,0.000291,0.0145
"238","chr3",149103348,149104824,1477,"*",3.35,4.14,1.5,2.64,0.000299,0.0149
"239","chr3",13546110,13547073,964,"*",2.79,-0.23,3.7,-3.93,0.000306,0.0151
"240","chr1",235092721,235098318,5598,"*",5.84,4.99,6.37,-1.38,0.000307,0.0151
"241","chr2",237493328,237494560,1233,"*",2.74,3.65,-0.28,3.93,0.000308,0.0151
"242","chr17",57220735,57221587,853,"*",3.07,0.87,3.9,-3.04,0.000313,0.0153
"243","chr2",20312617,20314611,1995,"*",4.55,3.2,5.24,-2.04,0.000313,0.0153
"244","chr7",92562833,92564158,1326,"*",2.67,3.57,-0.28,3.85,0.000318,0.0154
"245","chr6",157147591,157148337,747,"*",2.73,-0.23,3.63,-3.86,0.000321,0.0155
"246","chr2",16052649,16053664,1016,"*",2.91,3.77,0.52,3.25,0.000321,0.0155
"247","chr7",100526362,100527722,1361,"*",3.71,4.52,1.76,2.76,0.000327,0.0157
"248","chr12",122191664,122193675,2012,"*",4.39,2.96,5.09,-2.14,0.000328,0.0157
"249","chr18",46516826,46519387,2562,"*",6.02,5.35,6.48,-1.13,0.00033,0.0157
"250","chr17",57835439,57836556,1118,"*",4.73,5.35,3.6,1.75,0.000341,0.0161
"251","chr7",75401294,75402154,861,"*",3.36,4.16,1.43,2.73,0.000341,0.0161
"252","chr21",42347681,42349156,1476,"*",2.94,3.86,-0.28,4.13,0.000343,0.0161
"253","chr10",406263,407900,1638,"*",3.42,1.7,4.18,-2.48,0.000343,0.0161
"254","chr6",4479110,4479692,583,"*",2.68,3.58,-0.28,3.86,0.000347,0.0161
"255","chr1",117811042,117812343,1302,"*",5.32,5.86,4.46,1.4,0.000347,0.0161
"256","chr3",9404243,9405343,1101,"*",5,4.01,5.59,-1.58,0.000361,0.0167
"257","chr16",2897150,2897505,356,"*",2.69,-0.23,3.6,-3.82,0.000362,0.0167
"258","chr6",88482300,88483474,1175,"*",3.39,4.16,1.64,2.52,0.000367,0.0169
"259","chr7",84164869,84166195,1327,"*",2.7,-0.23,3.6,-3.83,0.00037,0.017
"260","chr6",126038952,126039834,883,"*",2.74,0.18,3.61,-3.44,0.000378,0.0172
"261","chr18",52433667,52435449,1783,"*",4.48,5.12,3.29,1.83,0.000378,0.0172
"262","chr10",5592869,5597402,4534,"*",5.96,6.7,4.32,2.38,0.000395,0.0179
"263","chr10",117424750,117425331,582,"*",3.53,1.88,4.28,-2.4,0.000403,0.0181
"264","chr19",51547261,51548324,1064,"*",2.76,-0.23,3.67,-3.9,0.000405,0.0182
"265","chr9",15241999,15244549,2551,"*",3.7,4.44,2.11,2.33,0.000407,0.0182
"266","chr19",47839163,47841420,2258,"*",5.69,4.84,6.23,-1.39,0.000447,0.0199
"267","chr2",75093759,75095199,1441,"*",4.32,4.97,3.13,1.84,0.000448,0.0199
"268","chr1",42325637,42328016,2380,"*",4.93,4.06,5.46,-1.4,0.000458,0.0202
"269","chr1",204893273,204894207,935,"*",2.64,3.54,-0.28,3.82,0.000462,0.0203
"270","chr3",149000228,149002230,2003,"*",5.46,5.98,4.64,1.34,0.000463,0.0203
"271","chr9",36306068,36307437,1370,"*",3.29,4.07,1.5,2.57,0.000465,0.0203
"272","chr10",43520852,43522854,2003,"*",5.47,4.54,6.03,-1.49,0.000466,0.0203
"273","chr8",134735006,134735808,803,"*",3.24,1.42,4.02,-2.6,0.000469,0.0204
"274","chr3",9231414,9231976,563,"*",2.89,0.77,3.72,-2.95,0.000479,0.0207
"275","chr14",22763616,22764486,871,"*",3.77,4.48,2.32,2.16,0.000481,0.0207
"276","chr3",186560516,186561393,878,"*",2.61,3.51,-0.28,3.78,0.000485,0.0208
"277","chr16",81169655,81171216,1562,"*",2.95,3.87,-0.28,4.14,0.000497,0.0213
"278","chr5",180661442,180662530,1089,"*",2.6,-0.23,3.49,-3.72,0.000503,0.0214
"279","chr5",72325971,72326810,840,"*",3.09,3.88,1.2,2.68,0.000508,0.0216
"280","chr5",10467631,10468346,716,"*",4.04,4.7,2.78,1.92,0.000533,0.0225
"281","chr6",150175346,150176903,1558,"*",4.3,4.94,3.12,1.82,0.000541,0.0227
"282","chr19",41902012,41904136,2125,"*",5.3,4.28,5.9,-1.62,0.000543,0.0227
