"","1a","1b","2a","2b","3b","3a"
"chr1:3571216-3571692",107,12,77,12,6,66
"chr1:3585365-3585679",93,12,49,26,5,42
"chr1:3620221-3620430",33,3,42,3,7,28
"chr1:3689530-3689868",99,3,80,10,4,50
"chr1:3691582-3691839",64,6,47,5,6,31
"chr1:3723137-3723279",4,1,3,2,2,2
"chr1:4068988-4069155",17,5,19,15,11,13
"chr1:4672245-4672491",55,6,29,9,3,29
"chr1:5373063-5373311",52,1,44,3,6,34
"chr1:6161114-6161436",98,8,86,9,6,57
"chr1:6217885-6218321",96,12,78,30,15,65
"chr1:6265924-6266171",35,5,32,20,7,22
"chr1:6295355-6295525",44,6,34,2,7,18
"chr1:6499415-6499628",28,1,18,4,2,15
"chr1:6644273-6644428",8,3,16,25,12,12
"chr1:6671697-6672021",96,8,34,18,8,55
"chr1:6682739-6683051",78,3,50,9,5,45
"chr1:6928191-6928402",35,5,16,36,8,19
"chr1:7019482-7019997",182,27,136,61,46,111
"chr1:7020465-7020869",97,9,59,55,19,34
"chr1:7283937-7284425",139,10,90,8,9,83
"chr1:7507744-7508341",353,31,374,67,24,254
"chr1:7705667-7705893",30,5,28,3,5,12
"chr1:8085047-8085189",32,3,3,9,7,12
"chr1:8251394-8251568",39,1,9,3,1,16
"chr1:8254641-8254915",78,9,27,21,11,47
"chr1:8257872-8258351",145,6,130,16,4,89
"chr1:8260540-8260715",42,2,26,2,1,20
"chr1:8262731-8262998",80,2,65,6,4,45
"chr1:8319163-8319616",62,7,19,42,26,36
"chr1:8378262-8378477",27,4,31,2,6,16
"chr1:8403643-8403885",67,6,54,20,7,33
"chr1:8931373-8931578",35,5,31,22,16,21
"chr1:8973554-8973729",35,6,13,19,7,20
"chr1:8975565-8975795",35,4,16,20,12,25
"chr1:8976587-8976815",35,1,29,6,2,18
"chr1:8983068-8983273",47,1,36,10,3,27
"chr1:9050022-9050305",47,2,52,8,3,29
"chr1:9082157-9082298",31,4,14,16,7,12
"chr1:9098425-9098596",28,1,22,3,2,12
"chr1:9385998-9386206",47,5,39,4,1,24
"chr1:9406086-9406419",43,9,49,14,4,26
"chr1:9536926-9537310",61,10,54,12,5,32
"chr1:9923027-9923247",33,1,37,4,2,18
"chr1:10078688-10078911",59,3,30,7,9,30
"chr1:10656994-10657175",40,3,24,4,4,14
"chr1:10695208-10695384",33,6,21,14,11,13
"chr1:10764711-10764961",41,11,36,20,7,21
"chr1:10770702-10770870",28,2,17,9,1,22
"chr1:10812374-10812808",162,7,157,12,9,92
"chr1:10891120-10891373",37,5,23,3,5,24
"chr1:11020572-11020758",31,5,36,7,6,14
"chr1:11113593-11113771",39,1,19,3,2,24
"chr1:11434438-11434805",109,7,95,20,11,65
"chr1:11544252-11544447",41,6,35,8,9,20
"chr1:11848195-11848352",35,3,22,11,6,24
"chr1:11854504-11854740",66,11,51,13,13,34
"chr1:11982729-11983134",22,1,13,3,1,6
"chr1:12208462-12208658",32,7,30,4,1,24
"chr1:12436185-12436390",20,10,4,43,18,9
"chr1:12538191-12538329",8,2,6,21,5,11
"chr1:12545577-12546052",130,22,90,71,46,82
"chr1:12546442-12546823",147,13,121,32,16,89
"chr1:12588667-12588878",37,5,29,18,11,27
"chr1:12609211-12609487",34,1,37,19,9,14
"chr1:12609651-12610176",136,17,92,66,33,65
"chr1:12660256-12660743",183,5,171,26,9,109
"chr1:13019826-13019976",1,1,1,1,1,1
"chr1:13206078-13206268",1,1,1,1,1,1
"chr1:13347298-13347421",1,1,1,1,1,1
"chr1:13352756-13352909",9,2,5,6,6,6
"chr1:14091586-14091727",14,5,10,15,11,11
"chr1:14136373-14136553",29,5,19,33,12,10
"chr1:14609211-14609402",32,3,20,7,1,15
"chr1:14882109-14882435",54,6,16,23,12,41
"chr1:15240367-15240666",93,6,77,4,4,50
"chr1:15252533-15252882",110,6,59,28,17,69
"chr1:15303810-15304076",83,4,60,11,7,35
"chr1:15342571-15342736",26,2,20,4,1,13
"chr1:15343696-15343973",43,4,30,20,14,27
"chr1:15352054-15352355",86,4,73,19,12,48
"chr1:15611501-15611859",98,12,42,52,22,60
"chr1:15731721-15732002",56,2,54,7,3,26
"chr1:15789637-15789980",65,4,68,7,1,37
"chr1:15809547-15809824",34,3,26,2,1,23
"chr1:16061349-16061683",66,2,66,9,3,32
"chr1:16126514-16127248",124,23,123,60,24,86
"chr1:16403501-16403794",41,2,43,10,4,23
"chr1:16421963-16422156",39,1,32,7,1,18
"chr1:16470046-16470416",45,6,62,17,4,39
"chr1:16471677-16472047",72,5,46,13,3,32
"chr1:16500107-16500435",42,6,61,27,7,42
"chr1:16502357-16502707",117,10,99,23,9,82
"chr1:16539002-16539180",27,2,25,10,3,20
"chr1:16563727-16563878",30,5,18,16,5,20
"chr1:16882690-16882916",1,1,1,1,1,1
"chr1:16927871-16928144",30,1,14,14,6,19
"chr1:16930859-16931031",43,17,11,38,22,24
"chr1:16934727-16935353",388,103,368,263,178,286
"chr1:16940858-16941163",59,9,43,23,6,32
"chr1:17035260-17035500",67,1,58,15,16,41
"chr1:17039865-17040181",129,18,106,27,21,71
"chr1:17178047-17178252",1,1,1,1,1,1
"chr1:17275088-17275340",7,1,14,2,2,8
"chr1:17355966-17356335",126,4,73,6,1,69
"chr1:17560230-17560564",54,7,34,27,5,26
"chr1:17577212-17577435",42,4,34,19,4,21
"chr1:17641334-17641602",66,6,62,13,4,47
"chr1:17795467-17795655",34,1,25,7,5,22
"chr1:17799288-17799597",49,3,38,9,4,39
"chr1:17846947-17847414",216,20,201,73,24,127
"chr1:17855977-17856489",186,14,145,37,18,114
"chr1:17886381-17886658",37,5,30,10,5,18
"chr1:17888059-17888264",29,3,26,7,5,14
"chr1:17904110-17904358",70,4,45,16,9,38
"chr1:18161022-18161184",30,2,14,4,1,20
"chr1:18205536-18205700",28,1,27,1,1,25
"chr1:18517203-18517363",18,4,25,13,6,15
"chr1:18756319-18756521",38,4,7,11,6,22
"chr1:18791311-18791503",21,3,26,12,7,23
"chr1:18926309-18926463",18,6,10,26,6,17
"chr1:19154867-19155053",26,9,5,22,12,20
"chr1:19258282-19258476",34,1,21,1,1,16
"chr1:19299083-19299286",23,3,10,23,12,18
"chr1:19334028-19334368",63,15,58,64,31,45
"chr1:19559057-19559229",35,15,28,40,13,28
"chr1:19640207-19640397",45,3,32,1,1,26
"chr1:19681165-19681338",41,3,25,4,3,26
"chr1:19686938-19687132",36,3,25,4,1,17
"chr1:19727791-19727944",39,3,27,14,3,25
"chr1:19752259-19752671",183,3,144,11,5,123
"chr1:19753649-19754150",146,11,83,24,14,77
"chr1:19798629-19798964",69,3,37,12,5,39
"chr1:19923072-19923935",283,44,280,103,66,192
"chr1:20559218-20559433",31,2,9,20,7,11
"chr1:20593225-20593392",23,4,22,21,11,10
"chr1:20682426-20682592",36,3,21,5,3,18
"chr1:20683880-20684032",28,2,19,5,2,19
"chr1:20940216-20940550",56,8,42,20,15,23
"chr1:21026082-21026252",35,6,28,20,11,18
"chr1:21196301-21196706",83,2,42,5,1,40
"chr1:21390713-21390861",30,7,18,21,11,17
"chr1:21568124-21568541",210,8,189,26,14,135
"chr1:21578313-21578724",84,6,46,24,13,51
"chr1:21581160-21581431",62,4,38,9,8,26
"chr1:21650904-21651446",107,8,80,29,12,62
"chr1:21656044-21656238",30,10,28,14,6,19
"chr1:21771300-21771507",15,1,14,1,2,9
"chr1:21953251-21953696",102,13,81,34,12,51
"chr1:21960734-21960981",43,6,40,31,13,18
"chr1:21961036-21961465",57,9,43,27,9,26
"chr1:21965605-21965856",43,4,43,15,4,30
"chr1:22182328-22182636",37,9,37,12,7,21
"chr1:22231279-22231520",30,2,39,10,9,24
"chr1:22283265-22283468",41,7,26,9,5,26
"chr1:22468095-22468256",25,1,17,9,5,19
"chr1:22586252-22586393",32,5,26,7,8,19
"chr1:22739091-22739671",106,35,74,103,38,66
"chr1:22740797-22740984",39,6,36,23,8,22
"chr1:22769104-22769298",36,7,41,15,15,23
"chr1:22796004-22796378",100,2,84,8,3,73
"chr1:22799083-22799621",245,12,180,25,10,167
"chr1:22952490-22952690",46,1,37,9,2,27
"chr1:22955564-22955906",36,5,32,10,7,36
"chr1:23161421-23161564",25,1,7,9,5,14
"chr1:23449956-23450159",48,1,18,12,4,16
"chr1:23632866-23633051",28,2,23,6,2,26
"chr1:23656450-23656844",76,18,38,51,23,46
"chr1:23694586-23694832",37,1,34,18,4,25
"chr1:23851779-23851910",26,1,19,1,2,16
"chr1:23912121-23912424",60,6,31,22,15,24
"chr1:23943830-23944019",47,3,26,7,1,21
"chr1:24130784-24130972",22,5,22,21,10,16
"chr1:24283660-24283885",58,11,31,40,20,26
"chr1:24327798-24328061",67,1,39,5,1,43
"chr1:24338240-24338441",45,4,37,14,1,26
"chr1:24345317-24345651",128,10,114,27,14,93
"chr1:24367527-24367720",26,5,14,17,11,8
"chr1:24542859-24543090",54,6,36,17,1,24
"chr1:24896972-24897230",42,4,41,7,1,22
"chr1:24924355-24924551",31,5,18,12,8,21
"chr1:24927237-24927444",48,10,29,26,11,34
"chr1:24932110-24932581",113,6,97,9,6,60
"chr1:24959372-24959623",40,9,21,32,11,33
"chr1:25222940-25223188",34,3,36,6,5,19
"chr1:25802720-25803155",124,6,37,24,9,60
"chr1:25900118-25900362",46,4,30,12,7,22
"chr1:26034884-26035074",42,1,22,4,2,37
"chr1:26083649-26084002",102,4,74,19,6,61
"chr1:26731106-26731276",24,8,17,27,6,18
"chr1:26989860-26990001",14,6,19,17,6,16
"chr1:27165272-27165531",63,4,50,8,4,37
"chr1:27240599-27240918",73,13,66,21,16,46
"chr1:27274663-27275026",87,6,57,14,9,40
"chr1:27468265-27468494",31,7,18,18,18,29
"chr1:27470915-27471288",54,5,51,39,12,29
"chr1:27676090-27676329",23,4,26,13,14,14
"chr1:27857637-27857770",17,7,22,25,6,16
"chr1:27868456-27869222",201,11,159,42,25,127
"chr1:27884513-27884797",96,12,74,16,8,67
"chr1:27928312-27928604",51,4,42,10,6,35
"chr1:27971597-27971760",32,3,16,6,1,16
"chr1:28395276-28395487",31,3,29,7,5,25
"chr1:28640557-28640885",117,11,76,30,15,61
"chr1:28846813-28846958",20,12,21,25,5,25
"chr1:29198672-29198908",60,3,28,4,3,21
"chr1:29432479-29432722",44,8,32,21,13,28
"chr1:29598341-29598484",12,4,22,13,7,12
"chr1:29638687-29638881",17,4,9,24,8,15
"chr1:29877184-29877375",30,3,30,5,4,17
"chr1:30117790-30117948",20,6,12,25,12,21
"chr1:30775753-30775884",24,2,15,3,2,15
"chr1:30775948-30776282",71,1,45,11,8,32
"chr1:30818325-30818897",142,11,53,31,16,67
"chr1:30855618-30855897",82,7,33,25,9,50
"chr1:30934471-30934934",96,3,72,16,6,53
"chr1:31042355-31042518",22,7,11,23,7,18
"chr1:31288578-31288783",35,1,32,5,3,31
"chr1:31659437-31659809",174,7,146,18,7,110
"chr1:31669598-31669792",28,2,30,4,2,22
"chr1:31841692-31841925",58,2,34,7,6,24
"chr1:32220999-32221221",35,3,32,7,9,26
"chr1:32235146-32235420",54,6,24,10,7,29
"chr1:32296000-32296643",116,6,101,6,5,70
"chr1:32308397-32308882",236,13,222,64,37,174
"chr1:32320684-32320885",39,3,33,6,4,17
"chr1:32345712-32346132",158,10,134,32,15,114
"chr1:32398112-32398260",26,6,6,23,6,15
"chr1:32593595-32593757",18,8,6,15,11,18
"chr1:32798455-32798737",112,11,92,36,13,71
"chr1:33225105-33225272",16,4,21,12,7,16
"chr1:33373172-33373354",34,3,24,28,14,22
"chr1:33685607-33685757",30,4,17,22,6,18
"chr1:34126131-34126292",24,5,29,5,3,18
"chr1:34412518-34412666",29,1,17,4,1,12
"chr1:35290656-35290789",26,1,15,3,2,18
"chr1:35291146-35291647",248,36,254,126,39,181
"chr1:35578345-35578687",32,5,14,50,21,24
"chr1:35971657-35971813",30,2,21,19,9,23
"chr1:36404607-36404779",24,6,8,31,2,14
"chr1:36874087-36874344",50,8,27,8,8,34
"chr1:36952604-36952871",46,13,45,31,12,26
"chr1:37217068-37217404",31,6,9,35,19,17
"chr1:37267736-37267897",36,10,16,22,12,26
"chr1:37503251-37503446",31,2,24,16,3,15
"chr1:37961115-37961282",40,4,22,18,3,24
"chr1:37961384-37961664",42,3,16,29,7,23
"chr1:38078494-38078938",139,3,133,10,6,60
"chr1:38258981-38259338",153,11,147,39,20,89
"chr1:38516606-38516770",18,4,20,5,5,15
"chr1:38589050-38589644",148,10,121,43,10,79
"chr1:38887407-38887573",29,1,1,1,1,15
"chr1:39560437-39560638",31,5,20,15,7,23
"chr1:39602401-39602650",13,4,2,22,13,8
"chr1:39608366-39608881",191,14,137,55,17,131
"chr1:39644646-39644954",140,14,67,28,15,102
"chr1:39721007-39721284",87,6,31,16,9,48
"chr1:40127942-40128117",16,6,20,7,5,13
"chr1:40251215-40251403",29,2,15,8,1,15
"chr1:40317868-40318107",47,3,15,20,12,29
"chr1:40318192-40318415",63,2,28,15,9,29
"chr1:40446233-40446651",99,14,88,40,15,63
"chr1:40496331-40496531",21,7,9,23,13,16
"chr1:40772101-40772348",25,6,24,14,5,22
"chr1:40782099-40782357",43,8,41,12,4,25
"chr1:41162174-41162342",37,3,21,15,5,17
"chr1:41365103-41365473",90,8,80,38,16,47
"chr1:41385069-41385462",124,4,96,10,6,55
"chr1:41389326-41389677",149,5,141,18,7,92
"chr1:41707247-41707809",101,13,68,32,16,47
"chr1:41819417-41819811",53,8,34,24,8,27
"chr1:41881165-41881430",55,5,51,9,7,30
"chr1:41928398-41928561",16,6,20,15,6,14
"chr1:41980019-41980357",92,9,62,22,13,56
"chr1:41980762-41981154",81,10,60,21,4,45
"chr1:42244031-42244394",160,4,137,12,2,97
"chr1:42255296-42255877",345,28,286,49,33,232
"chr1:42325793-42326324",247,7,123,40,15,204
"chr1:42327546-42327700",30,1,20,5,4,18
"chr1:42328263-42328682",131,5,48,15,7,73
"chr1:42331919-42332305",154,11,123,10,11,78
"chr1:42333881-42334237",246,27,223,68,23,188
"chr1:42356670-42356869",34,3,24,12,3,14
"chr1:42610567-42610705",26,8,20,27,9,21
"chr1:42617774-42618243",181,4,149,24,15,113
"chr1:42631184-42631817",122,19,128,46,23,63
"chr1:43403012-43403189",31,5,17,15,9,16
"chr1:43403417-43403776",109,15,93,29,15,60
"chr1:43414980-43415132",30,2,18,4,1,16
"chr1:43458011-43458499",226,19,184,71,46,138
"chr1:43459353-43459471",26,2,19,2,1,17
"chr1:43487401-43487684",46,4,38,4,1,29
"chr1:43958570-43958852",46,4,27,6,3,31
"chr1:44001912-44002101",55,6,20,13,9,31
"chr1:44105631-44105864",60,5,48,11,7,29
"chr1:44296495-44296834",148,29,52,87,26,104
"chr1:44318776-44318991",25,9,16,29,13,17
"chr1:44533284-44533610",121,6,115,13,8,74
"chr1:44891462-44891628",14,6,7,21,4,13
"chr1:45040237-45040411",45,2,26,15,6,19
"chr1:45272870-45273115",38,2,32,7,5,19
"chr1:45770339-45770658",84,7,78,13,8,53
"chr1:45792539-45792724",16,7,15,28,5,19
"chr1:45910540-45910818",49,7,23,23,10,28
"chr1:45982333-45982953",208,14,173,36,21,128
"chr1:45985075-45985210",26,1,18,12,4,20
"chr1:46318613-46318730",29,1,20,4,4,19
"chr1:46365058-46365214",20,5,5,20,7,16
"chr1:46501824-46501965",35,8,12,13,11,21
"chr1:46638202-46638395",41,4,28,12,7,23
"chr1:46648866-46649056",28,9,28,15,4,14
"chr1:46897497-46897669",33,9,24,10,4,12
"chr1:46988369-46988611",31,1,32,5,3,20
"chr1:47158152-47158371",22,7,5,39,11,11
"chr1:47223509-47223697",29,7,25,18,12,19
"chr1:47397202-47397391",27,6,7,24,16,15
"chr1:47496754-47496981",33,2,15,14,4,25
"chr1:47943805-47944086",64,15,49,48,20,33
"chr1:48002506-48002676",21,4,28,19,6,16
"chr1:48360354-48360656",128,10,105,26,7,101
"chr1:48938087-48938247",15,3,14,16,11,16
"chr1:49147182-49147317",25,1,8,3,2,13
"chr1:49209238-49209396",18,4,4,19,11,12
"chr1:50188984-50189304",48,4,15,15,6,28
"chr1:51605226-51605470",34,4,15,64,10,12
"chr1:51772613-51772975",111,2,88,8,1,63
"chr1:51787068-51787432",130,5,108,17,7,77
"chr1:51795002-51795402",92,6,56,14,10,55
"chr1:52007394-52007859",167,6,157,10,3,113
"chr1:52023939-52024224",37,4,12,13,4,26
"chr1:52033336-52033748",160,10,89,64,34,101
"chr1:52044517-52044663",40,4,18,17,11,21
"chr1:52094987-52095180",37,2,4,13,5,26
"chr1:52439401-52439586",28,2,6,9,4,15
"chr1:52442925-52443217",84,20,59,48,26,44
"chr1:52645810-52645972",19,8,4,10,7,8
"chr1:53128392-53128635",43,9,23,33,18,27
"chr1:53156143-53156312",26,5,6,34,4,16
"chr1:53371466-53371716",40,3,35,19,13,20
"chr1:53372080-53372311",48,5,40,7,1,20
"chr1:53999873-54000078",33,6,24,4,1,20
"chr1:54373029-54373220",34,7,20,21,7,19
"chr1:54384797-54385142",32,8,21,42,22,23
"chr1:54481824-54482448",190,28,150,73,37,108
"chr1:54684089-54684324",45,1,31,5,1,25
"chr1:54764879-54765049",35,1,16,5,3,16
"chr1:55106735-55107106",76,4,67,18,6,55
"chr1:55773260-55773539",56,4,33,25,6,33
"chr1:55894638-55895157",154,21,129,72,39,97
"chr1:56149760-56150080",18,5,8,37,18,8
"chr1:57035345-57035669",36,7,27,17,7,24
"chr1:57277007-57277294",91,6,45,17,7,47
"chr1:59279571-59279803",35,6,29,16,5,17
"chr1:59495500-59495651",30,3,8,7,8,19
"chr1:59521773-59521897",26,4,17,3,2,14
"chr1:60322596-60322766",19,5,11,23,11,17
"chr1:60463255-60463395",21,7,9,21,7,20
"chr1:61681407-61681652",86,4,41,14,7,32
"chr1:61759698-61759865",34,4,9,16,5,18
"chr1:61962049-61962362",94,12,37,19,21,63
"chr1:61962430-61962578",32,6,7,10,6,15
"chr1:62108084-62108503",106,14,77,41,21,66
"chr1:62207962-62208213",60,12,45,21,10,24
"chr1:62209590-62209789",37,5,22,18,8,15
"chr1:62209990-62210347",74,10,35,58,31,48
"chr1:62947011-62947169",14,3,8,23,7,12
"chr1:64003708-64003984",39,5,17,74,12,29
"chr1:65344653-65345097",164,8,80,20,14,93
"chr1:65363923-65364128",42,8,26,17,7,18
"chr1:65364394-65364513",24,5,14,13,2,13
"chr1:65381555-65381847",47,6,49,16,5,38
"chr1:65448824-65449224",203,20,158,51,31,141
"chr1:65472629-65472830",43,1,10,8,2,17
"chr1:65510005-65510502",267,11,201,18,10,174
"chr1:65696406-65696560",13,3,7,15,11,11
"chr1:65993962-65994146",21,2,3,35,6,17
"chr1:66826176-66826339",26,1,7,21,5,12
"chr1:67227040-67227226",22,5,13,13,17,15
"chr1:67933986-67934245",65,1,56,4,2,34
"chr1:69257604-69257735",31,10,22,23,12,24
"chr1:71184147-71184352",54,5,19,16,7,23
"chr1:71340602-71340747",30,5,8,13,4,20
"chr1:71381061-71381347",108,8,40,19,1,66
"chr1:71914347-71914591",70,2,15,8,3,38
"chr1:72466440-72466722",39,8,17,11,1,24
"chr1:72468818-72469075",74,10,38,13,7,54
"chr1:74789833-74790022",36,6,9,16,6,15
"chr1:74950991-74951126",29,9,16,12,7,19
"chr1:75118191-75118626",190,14,137,28,16,114
"chr1:76525191-76525515",65,9,27,35,9,40
"chr1:77409904-77410076",36,2,12,8,1,22
"chr1:78791099-78791251",23,7,10,24,10,15
"chr1:79316401-79316765",1,1,1,1,1,1
"chr1:79515362-79515520",9,7,5,23,7,11
"chr1:79858221-79858415",55,1,12,3,1,44
"chr1:80147205-80147353",21,9,8,24,7,29
"chr1:81105826-81106046",32,2,5,20,8,16
"chr1:81632821-81633066",87,6,47,24,7,52
"chr1:81668073-81668227",34,2,11,5,3,19
"chr1:82479487-82479698",27,4,8,42,13,17
"chr1:82829202-82829524",114,4,34,8,10,78
"chr1:82852553-82852745",45,3,10,7,4,15
"chr1:83330359-83330569",58,1,16,4,3,42
"chr1:83629782-83630016",42,3,26,4,2,38
"chr1:85100412-85100763",58,7,45,21,14,31
"chr1:85313020-85313174",26,3,15,16,5,19
"chr1:85690799-85690981",43,4,23,12,12,23
"chr1:85744474-85744645",37,3,11,10,1,23
"chr1:85763592-85763797",36,8,13,30,10,22
"chr1:86288387-86288660",43,11,11,36,18,26
"chr1:86296233-86296498",69,10,46,33,14,42
"chr1:86305259-86305460",15,9,17,22,15,18
"chr1:87229216-87229384",27,5,11,35,14,14
"chr1:87258515-87258739",33,8,20,10,4,21
"chr1:87258798-87259087",48,8,19,47,10,30
"chr1:87549980-87550329",31,7,33,90,29,19
"chr1:87634022-87634259",35,2,12,26,15,18
"chr1:88300751-88300932",34,1,21,5,2,22
"chr1:88704972-88705195",27,1,12,34,20,21
"chr1:88759411-88759779",101,3,30,11,6,55
"chr1:88975111-88975270",30,1,8,3,1,20
"chr1:90084030-90084178",18,6,3,23,9,15
"chr1:90088520-90088768",31,10,8,48,19,22
"chr1:90095725-90095908",14,5,3,14,13,15
"chr1:92424689-92424924",40,4,20,31,15,19
"chr1:92763840-92763997",24,3,8,24,9,12
"chr1:93222170-93222351",43,10,26,16,8,22
"chr1:93399171-93399346",38,4,6,17,13,22
"chr1:93644759-93645028",21,7,12,33,14,11
"chr1:93742986-93743165",6,1,1,2,1,4
"chr1:94050609-94050987",73,15,48,24,8,36
"chr1:94064837-94065341",106,8,77,13,6,65
"chr1:94074892-94075132",59,9,46,21,14,31
"chr1:94245272-94245670",144,21,130,22,14,108
"chr1:94374260-94374680",152,21,146,37,21,82
"chr1:94717930-94718182",54,10,53,30,17,33
"chr1:94888644-94888834",49,3,7,7,1,30
"chr1:95288757-95288918",30,3,13,7,1,15
"chr1:95362104-95362282",28,5,15,10,5,20
"chr1:95459506-95459707",28,3,9,14,7,16
"chr1:96525278-96525697",115,1,45,9,11,71
"chr1:96526074-96526528",203,10,157,12,2,132
"chr1:96526836-96527018",31,1,13,4,3,16
"chr1:96538322-96538810",102,9,38,20,7,59
"chr1:96541370-96541595",45,3,19,13,4,21
"chr1:96600312-96600471",29,2,23,4,6,9
"chr1:96629814-96630511",281,20,89,100,36,160
"chr1:96700009-96700240",48,5,28,21,8,30
"chr1:97306461-97306710",75,9,17,12,4,47
"chr1:97346356-97346530",31,2,8,1,1,20
"chr1:97448849-97449019",32,2,12,13,4,21
"chr1:98244353-98244600",14,5,8,33,17,7
"chr1:99145407-99145564",11,1,8,9,3,7
"chr1:99643078-99643332",23,5,11,46,16,17
"chr1:100352833-100353051",48,1,13,5,2,27
"chr1:100895872-100896207",110,10,39,31,11,64
"chr1:100905718-100905995",68,7,39,11,9,47
"chr1:100914003-100914199",21,1,23,6,7,17
"chr1:100951413-100951739",51,10,17,57,28,28
"chr1:102459344-102459552",22,7,7,36,5,27
"chr1:102517840-102517995",32,1,6,6,3,20
"chr1:103291650-103291858",57,3,26,7,7,25
"chr1:103298675-103299106",133,16,93,47,19,72
"chr1:103303173-103303376",36,2,9,27,5,20
"chr1:103406906-103407177",48,7,30,29,13,29
"chr1:107962999-107963521",265,5,131,27,8,193
"chr1:108186460-108186644",43,3,31,12,7,24
"chr1:108225809-108225955",36,5,12,15,10,20
"chr1:108281177-108281456",79,9,19,45,14,46
"chr1:108299069-108299307",169,9,81,41,20,141
"chr1:108372273-108372598",123,14,59,90,23,75
"chr1:108396955-108397507",213,14,93,47,31,131
"chr1:108741800-108742158",262,31,166,96,60,183
"chr1:108742404-108742643",45,29,43,38,21,26
"chr1:108777511-108778391",37,2,16,3,1,19
"chr1:108778439-108778783",1,1,1,1,1,1
"chr1:108779747-108780859",1,1,1,1,1,1
"chr1:108809082-108809235",1,1,1,1,1,1
"chr1:108924254-108925388",1,1,1,1,1,1
"chr1:108998715-108999810",1,1,1,1,1,1
"chr1:109000812-109001073",1,1,1,1,1,1
"chr1:109001145-109002087",1,1,4,1,1,1
"chr1:109096708-109096984",79,14,46,60,27,57
"chr1:109354401-109354588",34,5,9,13,5,19
"chr1:109639047-109639235",43,2,12,15,5,24
"chr1:109658341-109658587",74,4,32,13,6,48
"chr1:109680561-109681334",367,35,322,76,25,256
"chr1:109691967-109692234",71,5,46,19,3,46
"chr1:109693765-109694271",275,29,235,65,31,187
"chr1:109694884-109695184",120,25,74,59,37,92
"chr1:109711099-109711373",57,4,49,11,1,40
"chr1:109723888-109724267",94,11,43,23,22,57
"chr1:109741815-109742134",118,7,88,19,5,75
"chr1:109782494-109783103",492,53,489,135,64,378
"chr1:109788743-109789282",300,21,317,37,20,223
"chr1:109793373-109793640",89,6,89,16,5,66
"chr1:109817167-109817712",179,33,134,80,28,100
"chr1:110266960-110267132",48,3,18,8,3,26
"chr1:110268072-110268508",188,49,133,116,63,121
"chr1:110493141-110493427",104,22,63,46,20,62
"chr1:110530064-110530278",64,8,15,27,16,37
"chr1:110641036-110641286",94,8,67,28,12,56
"chr1:110662529-110662852",166,9,134,28,10,93
"chr1:110771180-110771355",41,6,39,1,1,22
"chr1:111155143-111155301",32,2,35,10,3,25
"chr1:111220294-111220466",27,6,5,10,2,18
"chr1:111289000-111289524",260,38,187,87,36,175
"chr1:111743230-111743456",46,8,44,22,9,29
"chr1:111743599-111743754",26,6,30,10,4,18
"chr1:111771059-111771338",72,8,41,25,7,38
"chr1:111779552-111779782",54,9,37,19,12,42
"chr1:112015865-112016296",141,7,89,33,11,88
