"","1a","1b","2a","2b","3b","3a"
"chr1:5454247-5454511",97,26,100,76,48,65
"chr1:5504537-5504799",79,26,67,60,25,61
"chr1:5508670-5508831",38,6,15,31,18,26
"chr1:5542109-5542283",27,8,25,30,10,16
"chr1:5569754-5570423",256,120,239,270,177,159
"chr1:5574484-5574988",238,116,243,260,185,162
"chr1:5657365-5657520",29,12,25,48,18,21
"chr1:5658641-5658919",91,32,72,82,56,53
"chr1:5681068-5681509",185,87,163,199,116,130
"chr1:5697261-5697600",141,47,123,133,79,97
"chr1:5701000-5701258",66,25,47,66,22,37
"chr1:5779301-5779558",46,15,45,48,19,29
"chr1:5805763-5806352",254,124,240,263,164,176
"chr1:5812478-5812645",55,18,32,52,22,40
"chr1:5828174-5828353",59,16,41,41,18,31
"chr1:5890922-5891089",34,13,27,22,7,25
"chr1:5948736-5948989",58,14,47,45,12,42
"chr1:5953701-5954048",79,29,70,86,45,47
"chr1:5975899-5976369",148,65,84,175,103,106
"chr1:6009598-6009765",31,18,24,42,13,22
"chr1:6035204-6035691",190,92,175,196,136,136
"chr1:6040540-6040725",48,12,30,35,8,35
"chr1:6052678-6052902",42,12,36,41,26,23
"chr1:6094400-6094909",175,65,170,191,86,121
"chr1:6095735-6096103",112,41,112,106,50,81
"chr1:6101506-6101901",150,60,154,131,68,98
"chr1:6112958-6113313",123,44,100,138,64,90
"chr1:6140629-6141075",157,39,124,130,76,96
"chr1:6142364-6142708",119,28,89,107,65,65
"chr1:6159817-6160139",137,42,116,114,54,80
"chr1:6165283-6165539",70,21,70,54,33,51
"chr1:6165820-6166027",40,13,48,37,17,35
"chr1:6168813-6169274",190,104,174,197,140,141
"chr1:6201748-6201967",67,24,51,53,12,49
"chr1:6231571-6232010",148,47,131,134,73,90
"chr1:6240379-6240643",61,18,45,50,24,27
"chr1:6243623-6243864",48,14,22,47,23,27
"chr1:6245739-6246187",142,43,105,128,83,81
"chr1:6264906-6265802",267,116,264,296,168,195
"chr1:6269766-6270028",65,14,42,31,20,33
"chr1:6298718-6299028",116,30,80,98,38,66
"chr1:6305104-6305532",196,102,183,209,112,142
"chr1:6306732-6307206",198,105,213,211,123,135
"chr1:6333027-6333159",23,7,19,17,15,15
"chr1:6340862-6341208",99,26,95,84,42,59
"chr1:6360897-6361087",45,17,41,34,16,21
"chr1:6403390-6403894",226,118,232,238,153,158
"chr1:6407884-6408406",222,100,207,227,136,170
"chr1:6417376-6417606",53,9,50,47,19,33
"chr1:6423136-6423534",77,15,91,77,50,48
"chr1:6438240-6438496",66,14,48,55,21,38
"chr1:6454085-6454246",28,7,23,33,6,26
"chr1:6457125-6457396",110,31,71,70,40,74
"chr1:6464802-6465117",157,83,147,145,98,123
"chr1:6474378-6474746",131,44,123,130,61,81
"chr1:6483336-6483973",222,113,227,252,142,152
"chr1:6497102-6497420",162,75,152,176,84,115
"chr1:6497975-6498537",247,106,224,234,154,177
"chr1:6500259-6500441",8,1,7,1,3,3
"chr1:6500772-6501121",10,9,9,14,9,4
"chr1:6505223-6505596",173,54,130,139,76,93
"chr1:6508288-6508520",6,1,7,2,2,4
"chr1:6524635-6524929",114,26,79,59,30,58
"chr1:6531005-6531258",24,12,32,24,11,20
"chr1:6531316-6531693",56,16,53,39,23,31
"chr1:6532534-6532837",127,41,113,119,63,98
"chr1:6535530-6536031",241,112,234,237,155,161
"chr1:6543088-6543459",180,51,162,123,64,125
"chr1:6543537-6543616",23,4,19,9,7,14
"chr1:6545950-6546134",32,8,19,32,17,20
"chr1:6546459-6546916",235,95,222,239,154,153
"chr1:6549797-6550329",248,99,261,242,152,168
"chr1:6573437-6573677",53,16,53,45,17,35
"chr1:6583673-6584022",120,35,85,128,64,86
"chr1:6607427-6607617",30,8,24,26,21,21
"chr1:6614138-6614924",279,107,253,263,162,187
"chr1:6661964-6662380",47,16,36,42,18,23
"chr1:6669765-6669949",32,12,10,36,10,18
"chr1:6685017-6685296",39,17,37,48,10,28
"chr1:6694625-6695060",198,90,172,172,100,133
"chr1:6706606-6706974",107,36,56,121,60,58
"chr1:6761704-6762247",258,129,241,251,157,191
"chr1:6779962-6780427",215,88,178,228,127,158
"chr1:6787515-6787979",198,90,170,205,154,127
"chr1:6846158-6846335",32,11,22,34,11,16
"chr1:6854292-6854501",43,10,16,66,18,28
"chr1:6949966-6950342",163,55,153,182,106,128
"chr1:7023390-7023609",63,13,52,31,23,43
"chr1:7058299-7058727",188,69,153,178,92,120
"chr1:7102739-7103276",136,42,107,156,91,85
"chr1:7130394-7131017",206,94,190,238,140,145
"chr1:7177552-7177859",103,39,91,101,48,74
"chr1:7181014-7181209",61,8,38,29,15,27
"chr1:7187512-7187693",36,8,21,32,13,24
"chr1:7246839-7247092",51,18,40,67,25,43
"chr1:7267924-7268359",197,90,172,200,137,155
"chr1:7278301-7278718",166,63,108,156,101,103
"chr1:7284738-7285162",132,41,101,127,78,83
"chr1:7347235-7347370",36,11,30,23,8,30
"chr1:7362994-7363250",57,25,39,70,35,43
"chr1:7416215-7416415",50,8,32,20,8,38
"chr1:7507212-7507402",72,5,56,18,7,48
"chr1:7514104-7514465",149,57,142,147,69,102
"chr1:7535239-7535534",107,26,77,95,35,72
"chr1:7576446-7576638",37,5,24,24,14,15
"chr1:7599549-7600189",245,82,226,235,107,169
"chr1:7621469-7621836",125,39,108,81,50,75
"chr1:7637362-7637618",78,13,59,53,19,51
"chr1:7701783-7702011",44,13,39,24,8,39
"chr1:7707266-7707838",207,103,204,232,149,158
"chr1:7727494-7728037",244,123,266,281,175,181
"chr1:7729393-7729987",261,119,227,250,154,163
"chr1:7812912-7813340",131,45,57,157,121,88
"chr1:7815592-7815777",27,9,10,36,22,13
"chr1:7858458-7858588",11,11,11,22,10,13
"chr1:7868326-7868601",61,26,24,89,40,47
"chr1:7916544-7916796",82,32,59,91,46,42
"chr1:7962788-7963302",163,76,137,155,96,110
"chr1:8002356-8002738",110,40,92,115,53,71
"chr1:8021406-8021654",74,28,72,59,30,56
"chr1:8035278-8035745",225,106,216,221,145,160
"chr1:8042353-8042725",164,55,141,179,116,120
"chr1:8075103-8075433",119,32,27,103,66,65
"chr1:8086428-8086559",31,6,21,15,7,10
"chr1:8091331-8091483",37,8,25,76,38,30
"chr1:8225814-8226018",41,14,35,31,10,20
"chr1:8299055-8299317",64,16,57,57,31,46
"chr1:8374355-8374805",176,83,191,178,123,124
"chr1:8375972-8376190",85,26,57,71,31,49
"chr1:8408945-8409613",218,92,233,239,132,148
"chr1:8411662-8412225",222,68,184,180,96,140
"chr1:8434882-8435200",140,47,104,142,72,91
"chr1:8458836-8459015",31,7,7,31,14,19
"chr1:8469166-8469597",110,28,59,103,48,68
"chr1:8491247-8491373",26,11,18,13,6,14
"chr1:8499596-8499826",49,15,32,63,21,47
"chr1:8503672-8503892",34,9,41,35,12,24
"chr1:8504000-8504170",31,13,25,28,12,17
"chr1:8520316-8520508",49,18,17,70,33,34
"chr1:8621122-8621541",170,60,47,186,97,105
"chr1:8631282-8631541",94,27,27,97,55,57
"chr1:8658152-8658415",55,15,47,64,22,43
"chr1:8676864-8677032",23,8,5,18,11,16
"chr1:8731430-8731710",157,47,113,155,102,96
"chr1:8763297-8763635",58,11,44,45,17,41
"chr1:8778972-8779408",108,22,57,96,40,56
"chr1:8786554-8786998",122,29,76,157,77,84
"chr1:8799505-8799721",44,17,29,41,20,27
"chr1:8824148-8824286",19,10,23,24,10,24
"chr1:8836322-8836529",35,8,26,32,27,21
"chr1:8854771-8854955",47,12,30,42,19,36
"chr1:8875016-8875249",58,19,40,53,20,36
"chr1:8877623-8877819",43,8,29,20,5,23
"chr1:8891478-8891728",46,19,40,66,24,39
"chr1:8908903-8909464",219,106,235,261,149,162
"chr1:8919482-8919890",149,52,102,153,85,86
"chr1:8922459-8922976",183,70,163,217,117,133
"chr1:8931584-8932015",130,60,107,147,65,87
"chr1:8939360-8939622",59,18,41,47,22,29
"chr1:8963682-8963851",29,7,16,23,13,19
"chr1:8978185-8978507",115,39,67,120,68,92
"chr1:9023004-9023328",124,46,114,111,72,79
"chr1:9047966-9048649",244,103,219,227,157,167
"chr1:9065165-9065590",197,84,180,201,97,128
"chr1:9070107-9070397",114,33,102,79,31,68
"chr1:9118643-9118872",75,31,64,84,39,48
"chr1:9161646-9161995",174,58,160,146,84,98
"chr1:9170696-9171238",195,95,198,217,127,150
"chr1:9177341-9177504",40,9,25,31,8,23
"chr1:9202247-9202641",159,69,140,181,99,121
"chr1:9241186-9241871",257,108,274,286,163,170
"chr1:9242333-9242670",85,35,71,86,33,48
"chr1:9256467-9256988",175,71,158,177,92,107
"chr1:9277463-9277600",30,12,17,24,14,17
"chr1:9294378-9294922",187,78,139,144,87,97
"chr1:9294983-9295262",50,18,28,34,26,18
"chr1:9310087-9310436",127,40,87,87,54,75
"chr1:9327166-9327565",205,100,186,208,123,156
"chr1:9349044-9349444",150,66,83,203,134,109
"chr1:9352579-9352767",24,9,26,19,10,13
"chr1:9353504-9353707",33,15,18,45,13,20
"chr1:9355116-9355382",63,20,59,60,31,46
"chr1:9464707-9464899",47,8,34,23,6,18
"chr1:9488761-9488975",53,8,34,46,19,23
"chr1:9508237-9508504",59,19,46,47,24,34
"chr1:9515820-9516322",191,88,176,189,102,137
"chr1:9525912-9526034",24,11,23,19,8,13
"chr1:9551127-9551491",162,69,153,170,108,115
"chr1:9555171-9555800",249,113,236,258,156,166
"chr1:9606732-9606958",71,18,50,69,28,41
"chr1:9633054-9633248",28,5,11,52,9,19
"chr1:9633856-9634106",58,13,40,72,38,38
"chr1:9637063-9637273",57,15,27,44,17,35
"chr1:9648438-9648966",236,96,225,219,137,141
"chr1:9675572-9676010",179,79,188,186,114,127
"chr1:9686966-9687540",316,175,324,340,255,226
"chr1:9711554-9711839",42,8,30,28,17,16
"chr1:9751975-9752168",35,10,27,26,12,20
"chr1:9762317-9762584",118,44,96,113,68,81
"chr1:9781804-9782189",142,49,132,134,69,82
"chr1:9784977-9785450",195,98,204,195,119,155
"chr1:9844644-9844947",106,54,71,130,61,77
"chr1:9852326-9852544",53,12,49,46,29,44
"chr1:9885631-9885773",38,8,17,21,7,14
"chr1:9888026-9888252",48,5,25,30,21,29
"chr1:9927430-9927985",235,115,221,219,152,143
"chr1:9934921-9935369",194,76,173,209,105,140
"chr1:9960836-9960962",25,3,13,16,6,10
"chr1:9974553-9974776",73,22,21,82,47,64
"chr1:10002468-10002706",76,19,29,80,37,51
"chr1:10010314-10010815",319,122,294,269,170,240
"chr1:10092452-10092928",208,101,202,214,126,144
"chr1:10093736-10093887",35,5,17,20,8,15
"chr1:10094566-10094751",30,11,13,36,15,22
"chr1:10118518-10118875",139,49,130,132,54,91
"chr1:10162161-10162286",35,10,15,32,10,18
"chr1:10212978-10213392",160,69,152,147,72,102
"chr1:10269922-10270790",302,112,262,284,148,191
"chr1:10398051-10398530",183,59,170,180,101,115
"chr1:10437441-10437827",168,70,115,177,105,113
"chr1:10459038-10459152",19,9,19,13,7,14
"chr1:10488069-10488478",178,69,179,186,129,120
"chr1:10490145-10490672",225,126,215,207,119,145
"chr1:10554659-10555428",289,123,255,324,222,209
"chr1:10567376-10567844",206,71,175,206,126,145
"chr1:10574501-10574849",157,61,107,162,100,103
"chr1:10590428-10590611",29,8,23,26,14,22
"chr1:10622157-10622294",25,6,21,20,11,15
"chr1:10646360-10646497",24,11,12,30,12,24
"chr1:10658452-10658676",56,15,44,53,18,38
"chr1:10690076-10690290",50,17,29,43,13,29
"chr1:10746835-10747071",44,15,24,32,16,23
"chr1:10752334-10752856",169,60,168,150,85,114
"chr1:10811325-10811527",126,13,123,45,24,81
"chr1:10813360-10813564",57,11,33,51,22,31
"chr1:10815909-10816071",29,5,16,16,7,17
"chr1:10848761-10849155",90,45,82,74,35,61
"chr1:10853910-10854284",110,39,82,116,59,70
"chr1:10895973-10896337",73,19,62,42,25,46
"chr1:10927073-10927643",223,87,199,199,119,118
"chr1:10969934-10970469",221,97,218,223,128,139
"chr1:11001887-11002451",239,92,231,254,144,138
"chr1:11020919-11021528",225,98,213,215,132,143
"chr1:11097650-11098061",182,86,178,200,140,132
"chr1:11120134-11120335",37,21,40,22,9,20
"chr1:11124009-11124308",93,23,68,79,33,68
"chr1:11136383-11136635",86,27,65,62,25,48
"chr1:11301678-11302119",128,39,67,130,67,70
"chr1:11308236-11308457",57,16,29,48,24,30
"chr1:11322892-11323059",41,11,26,38,9,23
"chr1:11332814-11333077",61,23,44,32,21,34
"chr1:11346330-11346652",100,25,41,117,62,64
"chr1:11380130-11380673",190,83,194,205,115,125
"chr1:11397571-11397994",171,65,163,184,99,107
"chr1:11424233-11424593",128,45,126,160,77,100
"chr1:11458637-11458802",38,12,31,20,16,23
"chr1:11538655-11539157",225,103,211,207,101,149
"chr1:11632213-11632568",102,38,65,95,38,79
"chr1:11654303-11654515",63,28,38,69,29,42
"chr1:11672106-11672267",31,3,28,22,12,15
"chr1:11677416-11677682",102,31,88,66,28,50
"chr1:11702434-11702870",209,103,188,209,131,151
"chr1:11705810-11706130",155,71,147,163,108,111
"chr1:11708803-11709100",54,12,51,39,19,23
"chr1:11710536-11710718",25,6,21,19,12,14
"chr1:11724035-11724462",181,79,151,168,83,118
"chr1:11735404-11735661",47,19,44,42,19,33
"chr1:11736746-11737040",59,8,57,50,28,37
"chr1:11750617-11750999",59,16,44,42,24,37
"chr1:11771120-11771495",105,44,87,112,49,72
"chr1:11779640-11780315",249,96,217,248,157,146
"chr1:11809253-11809655",147,59,139,149,71,111
"chr1:11845052-11845654",237,101,225,238,143,159
"chr1:11898645-11899106",237,116,241,258,160,159
"chr1:11919397-11919616",68,26,63,59,21,46
"chr1:11925594-11925871",105,27,57,79,49,70
"chr1:11953919-11954392",221,104,202,247,152,163
"chr1:11967768-11968103",166,70,166,175,133,127
"chr1:12027196-12027623",209,83,174,186,87,130
"chr1:12061713-12061959",66,20,28,66,20,38
"chr1:12074417-12074593",33,9,25,32,12,19
"chr1:12091270-12091757",184,67,172,183,95,114
"chr1:12109697-12109935",41,14,19,31,22,33
"chr1:12139639-12139938",108,27,80,92,53,59
"chr1:12166918-12167200",103,33,94,90,37,77
"chr1:12178625-12179055",193,79,195,201,128,146
"chr1:12184807-12185239",180,82,177,190,131,127
"chr1:12256896-12257194",53,11,49,29,14,43
"chr1:12259660-12259852",34,6,34,21,16,21
"chr1:12268890-12269315",188,68,185,182,116,120
"chr1:12289716-12290307",260,127,238,257,154,176
"chr1:12292778-12292915",26,6,9,15,11,19
"chr1:12304206-12304464",60,27,33,52,33,38
"chr1:12332145-12332456",114,39,47,116,56,75
"chr1:12335426-12335766",169,55,142,141,99,105
"chr1:12336389-12336612",76,23,53,68,36,50
"chr1:12374483-12374668",44,12,17,85,24,42
"chr1:12399507-12399732",46,11,14,48,16,26
"chr1:12467503-12467783",83,18,17,83,29,41
"chr1:12661257-12661642",150,41,104,111,59,92
"chr1:12679816-12680283",186,89,210,217,130,133
"chr1:12681718-12681867",20,9,12,21,7,11
"chr1:12718981-12719362",167,82,160,177,103,118
"chr1:12820326-12820662",86,22,64,74,41,42
"chr1:12841649-12842038",130,50,74,108,73,79
"chr1:12843915-12844270",122,51,79,122,78,85
"chr1:12866616-12866753",25,6,17,14,9,14
"chr1:12882467-12882845",29,10,15,38,11,21
"chr1:12933345-12933583",11,3,18,13,4,9
